text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_1,Adv,218.30293833632226,200.0,218.30293833632226,114,14498
1_10_1,Ele,202.84498297616662,189.0,202.84498297616662,114,9986
1_10_2,Adv,209.92972256972553,193.0,209.92972256972553,114,13589
1_10_2,Ele,210.632223903177,193.0,210.632223903177,114,13220
1_10_3,Adv,217.94429377305272,198.0,217.94429377305272,114,18436
1_10_3,Ele,204.52317123857023,191.0,204.52317123857023,114,9624
1_10_4,Adv,217.0061741910058,197.0,217.0061741910058,114,22837
1_10_4,Ele,208.80731872599955,192.0,208.80731872599955,114,17708
1_10_5,Adv,218.21539513529353,199.0,218.21539513529353,114,20474
1_10_5,Ele,206.77235023041476,190.0,206.77235023041476,114,13020
1_10_6,Adv,208.67679471032744,192.0,208.67679471032744,114,19056
1_10_6,Ele,215.72924588086184,195.0,215.72924588086184,114,12624
1_10_7,Adv,206.27609102432547,189.0,206.27609102432547,114,16567
1_10_7,Ele,210.7021324863884,193.0,210.7021324863884,114,13224
1_1_1,Adv,213.01768231175458,196.0,213.01768231175458,114,16853
1_1_1,Ele,213.58229705723335,194.0,213.58229705723335,114,12947
1_1_2,Adv,209.3494123242068,193.0,209.3494123242068,114,14719
1_1_2,Ele,211.1519659936238,194.0,211.1519659936238,114,10351
1_1_3,Adv,213.39709056030694,195.0,213.39709056030694,114,12511
1_1_3,Ele,207.84663763909046,192.0,207.84663763909046,114,8268
1_1_4,Adv,212.36198323625516,196.0,212.36198323625516,114,14078
1_1_4,Ele,206.20403475481874,191.0,206.20403475481874,114,10013
1_1_5,Adv,211.28886973386489,194.0,211.28886973386489,114,9281
1_1_5,Ele,203.49247624076028,188.0,203.49247624076028,114,7576
1_1_6,Adv,207.98315789473685,193.0,207.98315789473685,114,19000
1_1_6,Ele,211.46694414867872,194.0,211.46694414867872,114,10331
1_1_7,Adv,212.43960584869677,195.0,212.43960584869677,114,18876
1_1_7,Ele,203.50839091806515,188.0,203.50839091806515,114,11143
1_2_1,Adv,214.70325621715338,196.0,214.70325621715338,114,18457
1_2_1,Ele,209.04053859447004,192.0,209.04053859447004,114,13888
1_2_2,Adv,214.4297669839186,196.0,214.4297669839186,114,18282
1_2_2,Ele,207.9972724742555,191.0,207.9972724742555,114,17965
1_2_3,Adv,209.7519095477387,193.0,209.7519095477387,114,19900
1_2_3,Ele,217.2064842308001,197.0,217.2064842308001,114,12461
