text_id,align_idx,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
1_10_1,0,Adv,260.88985633434913,220.0,260.88985633434913,114,2297
1_10_1,0,Ele,248.77455470737914,210.0,248.77455470737914,114,1965
1_10_1,1,Adv,285.6126932465419,233.0,285.6126932465419,114,1229
1_10_1,1,Ele,230.64354527938343,205.0,230.64354527938343,112,1038
1_10_1,2,Adv,252.23715415019763,218.0,252.23715415019763,114,2277
1_10_1,2,Ele,238.13002364066193,216.0,238.13002364066193,114,1269
1_10_2,3,Adv,267.99477806788514,218.0,267.99477806788514,112,1149
1_10_2,3,Ele,248.87532693984306,214.0,248.87532693984306,113,1147
1_10_2,4,Adv,263.4602556976098,228.0,263.4602556976098,113,1799
1_10_2,4,Ele,261.7556894243641,220.0,261.7556894243641,113,1494
1_10_2,5,Adv,231.8812292358804,203.0,231.8812292358804,114,1204
1_10_2,5,Ele,241.91212534059946,211.0,241.91212534059946,114,1468
1_10_2,6,Adv,237.33767441860465,210.0,237.33767441860465,114,1075
1_10_2,6,Ele,237.08216619981326,203.0,237.08216619981326,113,1071
1_10_3,7,Adv,269.91966395379364,222.0,269.91966395379364,114,3809
1_10_3,7,Ele,244.87819390969548,209.0,244.87819390969548,114,2857
1_10_3,8,Adv,268.36491518411253,222.0,268.36491518411253,114,2417
1_10_3,8,Ele,235.09472743521002,204.0,235.09472743521002,114,1119
1_10_4,9,Adv,279.87029893924785,227.0,279.87029893924785,114,2074
1_10_4,9,Ele,258.7006525285481,213.5,258.7006525285481,113,1226
1_10_4,10,Adv,286.64931350114415,236.0,286.64931350114415,112,1748
1_10_4,10,Ele,256.6362088535755,222.0,256.6362088535755,114,1762
1_10_4,11,Adv,238.18672199170123,209.0,238.18672199170123,111,1205
1_10_4,11,Ele,239.592899408284,213.0,239.592899408284,109,845
1_10_4,12,Adv,253.65271389144434,219.0,253.65271389144434,113,2174
1_10_4,12,Ele,237.51772575250837,209.0,237.51772575250837,113,1495
1_10_4,13,Adv,254.88346883468836,213.0,254.88346883468836,113,1845
1_10_4,13,Ele,254.72774060730828,217.0,254.72774060730828,114,1943
1_10_5,14,Adv,292.6140510948905,232.5,292.6140510948905,114,1096
1_10_5,14,Ele,256.1309751434034,216.0,256.1309751434034,112,1046
1_10_5,15,Adv,299.9279197080292,232.0,299.9279197080292,112,1096
1_10_5,15,Ele,249.5423197492163,217.5,249.5423197492163,113,1276
1_10_5,16,Adv,276.9177250138045,232.0,276.9177250138045,113,1811
1_10_5,16,Ele,251.12543554006967,219.0,251.12543554006967,113,1435
1_10_5,17,Adv,246.71305595408896,215.0,246.71305595408896,113,2788
1_10_5,17,Ele,229.60516605166052,206.0,229.60516605166052,114,1355
1_10_6,18,Adv,262.23014492753623,226.0,262.23014492753623,113,1725
1_10_6,18,Ele,284.06254948535235,226.0,284.06254948535235,114,1263
1_10_6,19,Adv,248.98774983881367,216.0,248.98774983881367,112,1551
1_10_6,19,Ele,253.75605633802817,215.0,253.75605633802817,113,1775
1_10_6,20,Adv,250.3890608875129,213.0,250.3890608875129,110,969
1_10_6,20,Ele,270.887417218543,222.0,270.887417218543,109,906
1_10_6,21,Adv,271.9871794871795,230.0,271.9871794871795,107,780
1_10_6,22,Adv,241.81527347781218,214.0,241.81527347781218,113,969
1_10_6,22,Ele,249.2691570881226,212.5,249.2691570881226,110,1044
1_10_6,23,Adv,251.31326530612245,209.0,251.31326530612245,112,980
1_10_7,24,Adv,244.67057569296375,209.5,244.67057569296375,112,1876
1_10_7,24,Ele,257.94529262086513,212.5,257.94529262086513,113,786
1_10_7,25,Adv,248.6538261322228,210.0,248.6538261322228,113,1921
1_10_7,25,Ele,249.5852144469526,213.0,249.5852144469526,113,1772
1_10_7,26,Adv,240.18111002921128,209.0,240.18111002921128,110,1027
