text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_1,0,Adv,215.99187129551228,198.0,215.99187129551228,114,5905
1_10_1,0,Ele,201.783605861117,188.0,201.783605861117,114,4709
1_10_1,1,Adv,221.63,203.0,221.63,114,3100
1_10_1,1,Ele,199.55753968253967,184.0,199.55753968253967,114,2520
1_10_1,2,Adv,218.90970325869287,200.0,218.90970325869287,114,5493
1_10_1,2,Ele,207.6626768226333,193.0,207.6626768226333,114,2757
1_10_2,3,Adv,214.22514812376565,195.0,214.22514812376565,114,3038
1_10_2,3,Ele,212.15051194539248,196.0,212.15051194539248,114,2930
1_10_2,4,Adv,215.8841016803102,200.0,215.8841016803102,114,4642
1_10_2,4,Ele,211.98348837209303,194.0,211.98348837209303,114,4300
1_10_2,5,Adv,202.90215439856374,189.0,202.90215439856374,114,3342
1_10_2,5,Ele,210.75250644514466,193.0,210.75250644514466,114,3491
1_10_2,6,Adv,203.2278924814959,186.0,203.2278924814959,114,2567
1_10_2,6,Ele,206.35894357743098,188.0,206.35894357743098,113,2499
1_10_3,7,Adv,216.8974449339207,197.0,216.8974449339207,114,11350
1_10_3,7,Ele,203.1773348850742,190.0,203.1773348850742,114,6874
1_10_3,8,Adv,219.62108382726504,200.0,219.62108382726504,114,7086
1_10_3,8,Ele,207.88727272727272,192.0,207.88727272727272,114,2750
1_10_4,9,Adv,219.30786174178246,199.0,219.30786174178246,114,5902
1_10_4,9,Ele,211.43945382680562,193.0,211.43945382680562,114,2783
1_10_4,10,Adv,223.9827150084317,202.0,223.9827150084317,114,4744
1_10_4,10,Ele,208.9279338123231,191.0,208.9279338123231,114,4593
1_10_4,11,Adv,211.00819366852886,192.0,211.00819366852886,114,2685
1_10_4,11,Ele,206.77207696102616,193.0,206.77207696102616,114,2027
1_10_4,12,Adv,212.4614636045154,195.0,212.4614636045154,114,5138
1_10_4,12,Ele,207.86144101346002,191.0,207.86144101346002,114,3789
1_10_4,13,Adv,215.35187728937728,195.0,215.35187728937728,113,4368
1_10_4,13,Ele,208.76970770593445,193.0,208.76970770593445,114,4516
1_10_5,14,Adv,215.22805280528053,194.0,215.22805280528053,114,3030
1_10_5,14,Ele,206.38397389412617,191.0,206.38397389412617,114,2758
1_10_5,15,Adv,228.0724787206603,203.0,228.0724787206603,114,3877
1_10_5,15,Ele,210.9561403508772,195.5,210.9561403508772,114,3192
