text_id,align_idx,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
1_10_1,0,Adv,0.4804342908844153,0.3141823116941868,114,4421
1_10_1,0,Ele,0.47767145135566186,0.3022328548644338,114,3762
1_10_1,1,Adv,0.4325946445060018,0.25392428439519854,114,2166
1_10_1,1,Ele,0.5207756232686981,0.3171745152354571,114,2166
1_10_1,2,Adv,0.5128369704749679,0.32456140350877194,114,4674
1_10_1,2,Ele,0.4699248120300752,0.2894736842105263,114,2394
1_10_2,3,Adv,0.37006578947368424,0.22039473684210525,114,1824
1_10_2,3,Ele,0.47045244690674054,0.25992613111726687,114,2166
1_10_2,4,Adv,0.455837870538415,0.2613430127041742,114,3306
1_10_2,4,Ele,0.4959514170040486,0.24358974358974358,114,2964
1_10_2,5,Adv,0.5937921727395412,0.34379217273954116,114,2964
1_10_2,5,Ele,0.5401002506265664,0.3558897243107769,114,3192
1_10_2,6,Adv,0.47612085769980506,0.2987329434697856,114,2052
1_10_2,6,Ele,0.4780701754385965,0.2884990253411306,114,2052
1_10_3,7,Adv,0.5086429308565531,0.2837977296181631,114,7752
1_10_3,7,Ele,0.5180499325236168,0.3181511470985155,114,5928
1_10_3,8,Adv,0.4828840393667095,0.2652973898160034,114,4674
1_10_3,8,Ele,0.5325814536340853,0.33500417710944025,114,2394
1_10_4,9,Adv,0.4649122807017544,0.25877192982456143,114,3876
1_10_4,9,Ele,0.40253411306042886,0.2729044834307992,114,2052
1_10_4,10,Adv,0.5053763440860215,0.27645727221279004,114,3534
1_10_4,10,Ele,0.5169956140350878,0.30893640350877194,114,3648
1_10_4,11,Adv,0.5595760233918129,0.35964912280701755,114,2736
1_10_4,11,Ele,0.5882066276803118,0.3557504873294347,114,2052
1_10_4,12,Adv,0.5232456140350877,0.3140350877192982,114,4560
1_10_4,12,Ele,0.5142949967511371,0.3014944769330734,114,3078
1_10_4,13,Adv,0.5477941176470589,0.36740196078431375,114,4080
1_10_4,13,Ele,0.5393551446183025,0.3589378852536747,114,4218
1_10_5,14,Adv,0.434468524251806,0.26160990712074306,114,1938
1_10_5,14,Ele,0.42653508771929827,0.26480263157894735,114,1824
1_10_5,15,Adv,0.4939981532779317,0.26038781163434904,114,2166
1_10_5,15,Ele,0.49122807017543857,0.28189792663476876,114,2508
1_10_5,16,Adv,0.48754951895868703,0.24816072439162423,114,3534
1_10_5,16,Ele,0.4755116959064328,0.266812865497076,114,2736
1_10_5,17,Adv,0.529689608636977,0.30516194331983804,114,5928
1_10_5,17,Ele,0.5428475033738192,0.3606612685560054,114,2964
1_10_6,18,Adv,0.45958646616541354,0.25845864661654133,114,3192
1_10_6,18,Ele,0.44605263157894737,0.2600877192982456,114,2280
1_10_6,19,Adv,0.5611205432937182,0.26966610073571023,114,3534
1_10_6,19,Ele,0.5281765018607124,0.3168527379053695,114,3762
1_10_6,20,Adv,0.5526315789473685,0.31163434903047094,114,2166
1_10_6,20,Ele,0.5584795321637427,0.3684210526315789,114,2052
1_10_6,21,Adv,0.543859649122807,0.3286549707602339,114,1710
