text_id,align_idx,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_10_1,0,Adv,172.375706853653,166.0,251.3433377308707,114,4421
1_10_1,0,Ele,168.76023391812865,163.0,241.8575238095238,114,3762
1_10_1,1,Adv,207.47553093259464,182.0,278.08910891089107,114,2166
1_10_1,1,Ele,158.47876269621423,156.0,232.09263015551048,114,2166
1_10_1,2,Adv,165.8765511339324,160.0,245.58346531517265,114,4674
1_10_1,2,Ele,165.86800334168754,167.0,233.44385655496765,114,2394
1_10_2,3,Adv,201.55756578947367,179.0,258.5379746835443,114,1824
1_10_2,3,Ele,178.46214219759926,174.0,241.1409856519027,114,2166
1_10_2,4,Adv,187.86116152450091,182.0,254.32800982800984,114,3306
1_10_2,4,Ele,190.74966261808368,178.5,252.17752007136485,114,2964
1_10_2,5,Adv,150.93016194331983,151.0,230.00359897172237,114,2964
1_10_2,5,Ele,153.00563909774436,149.0,237.545719844358,114,3192
1_10_2,6,Adv,162.91861598440545,161.0,232.32036136205699,114,2052
1_10_2,6,Ele,166.135477582846,163.0,233.5,114,2052
1_10_3,7,Adv,183.63918988648092,169.0,256.4068804034582,114,7752
1_10_3,7,Ele,161.05566801619435,160.0,236.20435428005936,114,5928
1_10_3,8,Adv,188.46255883611468,174.0,256.5154338963308,114,4674
1_10_3,8,Ele,152.2355889724311,151.0,228.92713567839195,114,2394
1_10_4,9,Adv,198.91047471620226,180.0,268.3525931082492,114,3876
1_10_4,9,Ele,184.1549707602339,174.0,253.27479892761394,114,2052
1_10_4,10,Adv,197.5291454442558,177.0,273.0027375831052,114,3534
1_10_4,10,Ele,168.11485745614036,161.0,243.26973423244743,114,3648
1_10_4,11,Adv,150.38486842105263,149.0,234.84760273972603,114,2736
1_10_4,11,Ele,147.62719298245614,153.0,229.14599092284416,114,2052
1_10_4,12,Adv,171.58135964912282,164.0,250.13139386189258,114,4560
1_10_4,12,Ele,167.7254710851202,160.0,240.12046511627906,114,3078
1_10_4,13,Adv,158.05808823529412,151.0,249.85548237117396,114,4080
1_10_4,13,Ele,158.28852536747274,155.5,246.91605029585799,114,4218
1_10_5,14,Adv,205.1031991744066,181.0,277.7707896575821,114,1938
1_10_5,14,Ele,183.65076754385964,177.0,249.79791200596569,114,1824
1_10_5,15,Adv,207.60987996306557,180.0,280.7009987515606,114,2166
1_10_5,15,Ele,174.09051036682615,169.0,242.43142698500833,114,2508
1_10_5,16,Adv,200.01895868704017,182.0,266.03951825366954,114,3534
1_10_5,16,Ele,180.48793859649123,173.0,246.1689930209372,114,2736
1_10_5,17,Adv,167.21440620782727,163.0,240.6523428016509,114,5928
1_10_5,17,Ele,145.75641025641025,146.0,227.97994722955144,114,2964
1_10_6,18,Adv,186.18295739348372,177.0,251.07562315166876,114,3192
1_10_6,18,Ele,202.48026315789474,177.0,273.6544161232958,114,2280
1_10_6,19,Adv,174.01528013582342,170.0,238.268113134444,114,3534
1_10_6,19,Ele,167.74162679425837,162.0,245.54241245136186,114,3762
1_10_6,20,Adv,167.42336103416434,161.5,243.2186452045607,114,2166
1_10_6,20,Ele,161.43421052631578,152.0,255.60416666666666,114,2052
1_10_6,21,Adv,179.89473684210526,159.0,267.9616724738676,114,1710
1_10_6,22,Adv,149.80470914127423,145.0,243.60135135135135,114,2166
1_10_6,22,Ele,150.4095106186519,146.0,246.06268882175226,114,2166
1_10_6,23,Adv,164.6469298245614,158.0,242.77768795472917,114,1824
1_10_7,24,Adv,159.50977443609023,158.0,239.4446952595937,114,3990
1_10_7,24,Ele,191.07236842105263,178.5,251.0922190201729,114,1368
1_10_7,25,Adv,167.76529160739688,161.0,238.5015166835187,114,4218
1_10_7,25,Ele,173.499725877193,166.0,243.15290049942374,114,3648
1_10_7,26,Adv,159.31798245614036,159.5,239.29183135704875,114,2280
1_10_7,26,Ele,165.1,162.0,247.16217990807615,114,2280
1_10_7,27,Adv,135.5999592003264,132.0,228.031217838765,114,4902
1_10_7,27,Ele,138.13026315789475,130.0,235.11534154535275,114,4560
1_1_1,28,Adv,177.46491228070175,164.0,263.1063632141198,114,3192
1_1_1,28,Ele,167.97697368421052,160.0,247.35468245425187,114,2736
1_1_1,29,Adv,165.16105263157894,157.0,249.9782262347318,114,2850
1_1_1,29,Ele,160.40559732664997,156.0,242.2782334384858,114,2394
1_1_1,30,Adv,194.7719298245614,180.0,257.70659238625814,114,2850
1_1_1,30,Ele,162.47149122807016,158.0,247.901051625239,114,3192
1_1_1,31,Adv,176.64473684210526,167.5,258.75850340136054,114,3876
1_1_1,31,Ele,166.29739671760046,160.0,252.12140712140712,114,3534
1_1_2,32,Adv,188.38771929824563,177.0,252.85949764521192,114,1710
1_1_2,33,Adv,167.71132376395533,157.0,259.0024630541872,114,1254
1_1_2,33,Ele,180.1196172248804,171.0,252.08705357142858,114,1254
1_1_2,34,Adv,168.10872576177286,161.0,246.7797356828194,114,4332
