text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,Adv,164.18283646389798,0.0,424.388864142539,114,5803
1_10_1,Ele,117.82794943820225,0.0,339.8791357191087,114,4272
1_10_2,Adv,163.75492634398316,0.0,397.56014862981885,114,5227
1_10_2,Ele,146.34478764478766,0.0,360.29752851711027,114,5180
1_10_3,Adv,211.52152264696434,0.0,443.7105795148248,114,6226
1_10_3,Ele,130.27288732394365,0.0,346.00200400801606,114,3976
1_10_4,Adv,140.5734026088879,0.0,398.0053208137715,114,9046
1_10_4,Ele,131.03135744739376,0.0,386.5026369168357,114,7271
1_10_5,Adv,221.69135620674422,0.0,461.2457107843137,114,6791
1_10_5,Ele,159.9700704225352,0.0,377.54709141274236,114,5112
1_10_6,Adv,152.2839116719243,0.0,395.3938942665674,114,6974
1_10_6,Ele,158.36768243785085,0.0,420.40340606705695,114,4988
1_10_7,Adv,117.34214708857101,0.0,338.3854166666667,114,6921
1_10_7,Ele,122.34725708139118,0.0,353.05380237972065,114,5578
1_1_1,Adv,160.6991792929293,0.0,420.7396694214876,114,6336
1_1_1,Ele,104.53083888604135,0.0,346.0514705882353,114,5853
1_1_2,Adv,127.77494312642185,0.0,380.9723837209302,114,6154
1_1_2,Ele,99.81336805555556,0.0,344.5243445692884,114,4608
1_1_3,Adv,160.27546777546777,0.0,406.82058047493405,114,4810
1_1_3,Ele,133.22099290780142,0.0,379.0185633575464,114,3525
1_1_4,Adv,174.52006848012175,0.0,421.0426801284993,114,5257
1_1_4,Ele,167.8961447678993,0.0,396.1559405940594,114,3813
1_1_5,Adv,124.77381546134663,0.0,379.9111617312073,114,4010
1_1_5,Ele,144.04995287464655,0.0,376.4458128078818,114,3183
1_1_6,Adv,190.83376585928488,0.0,445.96462264150944,114,6936
1_1_6,Ele,124.08290731273617,0.0,351.76370510396976,114,4499
1_1_7,Adv,166.81306715063522,0.0,389.720156555773,114,7163
1_1_7,Ele,120.0693006549757,0.0,339.47909199522104,114,4733
1_2_1,Adv,126.13697916666666,0.0,388.42502004811547,114,7680
1_2_1,Ele,121.36533727227966,0.0,386.7567991631799,114,6093
1_2_2,Adv,133.53325833216144,0.0,380.12610088070454,114,7111
1_2_2,Ele,137.8936518771331,0.0,378.0205838323353,114,7325
1_2_3,Adv,155.02588172187205,0.0,400.98092265001736,114,7457
1_2_3,Ele,167.71985666104553,0.0,405.95051020408164,114,4744
1_2_4,Adv,130.37882753205966,0.0,375.41635267520724,114,7642
1_2_4,Ele,141.06098760574463,0.0,397.0171650055371,114,5083
1_2_5,Adv,137.27110908261068,0.0,391.6158854166667,114,6573
1_2_5,Ele,138.86127297176154,0.0,375.74226804123714,114,4462
1_2_6,Adv,213.2325639116406,0.0,469.97483588621446,114,4029
1_2_6,Ele,120.10056214865709,0.0,353.13314967860424,114,3202
1_3_1,Adv,160.89672711189738,0.0,423.2547993019197,114,4522
1_3_1,Ele,102.57624190064794,0.0,336.11323425336167,114,4630
1_3_2,Adv,173.47751378871448,0.0,398.7191613846904,114,4714
1_3_2,Ele,161.6217148924874,0.0,390.5253367543297,114,3767
1_3_3,Adv,150.42819752224742,0.0,427.6309523809524,114,5731
1_3_3,Ele,107.77033585711513,0.0,366.9035029742234,114,5151
1_3_4,Adv,135.7813545816733,0.0,385.70755998189225,114,6275
1_3_4,Ele,133.17515468824368,0.0,396.88085106382977,114,4202
1_3_5,Adv,162.8168964711381,0.0,397.08948418352804,114,8558
1_3_5,Ele,130.9967672413793,0.0,389.943865276664,114,3712
1_4_1,Adv,149.79551451187336,0.0,394.62717219589257,114,8338
1_4_1,Ele,139.8824548736462,0.0,390.28444802578565,114,6925
1_4_2,Adv,141.71944318696242,0.0,400.5863723608445,114,8836
1_4_2,Ele,109.49839743589743,0.0,370.3360433604336,114,7488
1_4_3,Adv,201.7312941950337,0.0,451.66715758468337,114,6081
1_4_3,Ele,162.658446895955,0.0,387.4137042761463,114,4623
1_4_4,Adv,174.72732647510938,0.0,418.8404195011338,114,8457
1_4_4,Ele,169.1323370821137,0.0,394.3383620689655,114,6491
1_4_5,Adv,176.3005921993057,0.0,404.187265917603,114,4897
