text_id,level,RegRateFirstPass,RegRateTotal,n_subjects,n_rows
1_10_1,Adv,0.24694123729105635,0.23985436462125923,114,11261
1_10_1,Ele,0.22823033707865167,0.22434510934871424,114,8322
1_10_2,Adv,0.2842930935527071,0.2869110979696432,114,10146
1_10_2,Ele,0.28841698841698843,0.2757856178908811,114,10374
1_10_3,Adv,0.2780276260841632,0.3012232415902141,114,12426
1_10_3,Ele,0.27691146881287726,0.23720259552992068,114,8322
1_10_4,Adv,0.27747070528410345,0.24459704034919622,114,18786
1_10_4,Ele,0.2873057351120891,0.245414673046252,114,15048
1_10_5,Adv,0.2650566926814902,0.3034792864514227,114,13566
1_10_5,Ele,0.2580203442879499,0.2589712918660287,114,10032
1_10_6,Adv,0.26570117579581304,0.27110745614035087,114,14592
1_10_6,Ele,0.27285485164394546,0.24814814814814815,114,10260
1_10_7,Adv,0.2662909984106343,0.21598440545808967,114,15390
1_10_7,Ele,0.2436357117246325,0.2157557354925776,114,11856
1_1_1,Adv,0.26625631313131315,0.25587406015037595,114,12768
1_1_1,Ele,0.22057064753118058,0.19475371120107962,114,11856
1_1_2,Adv,0.2427689307767306,0.20020183201366248,114,12882
1_1_2,Ele,0.22547743055555555,0.19226006191950465,114,9690
1_1_3,Adv,0.26507276507276506,0.24887800897592818,114,9804
1_1_3,Ele,0.25843971631205676,0.23085491506544137,114,7182
1_1_4,Adv,0.24386532242723988,0.25795257374204744,114,10374
1_1_4,Ele,0.24337791765014424,0.2608984582668793,114,7524
1_1_5,Adv,0.2491271820448878,0.20456140350877192,114,8550
1_1_5,Ele,0.23468426013195098,0.23960363872644574,114,6156
1_1_6,Adv,0.24567474048442905,0.2733797303175294,114,13794
1_1_6,Ele,0.20693487441653702,0.22499430394167236,114,8778
1_1_7,Adv,0.24389222392852156,0.25255302435192456,114,15276
1_1_7,Ele,0.22903021339530952,0.21776825785393716,114,9804
1_2_1,Adv,0.21041666666666667,0.2020242914979757,114,14820
1_2_1,Ele,0.2225504677498769,0.20605263157894738,114,11400
1_2_2,Adv,0.2413162705667276,0.24273684210526317,114,14250
1_2_2,Ele,0.228259385665529,0.22284878863826232,114,14364
1_2_3,Adv,0.24808904385141478,0.25,114,15732
1_2_3,Ele,0.26032883642495785,0.29012345679012347,114,9234
1_2_4,Adv,0.2581784873069877,0.22751809593914857,114,16302
1_2_4,Ele,0.26165650206570923,0.23964912280701756,114,11400
1_2_5,Adv,0.23003194888178913,0.22837528604118992,114,13110
1_2_5,Ele,0.2635589421783953,0.2543859649122807,114,9462
1_2_6,Adv,0.265078183172003,0.286331500392773,114,7638
1_2_6,Ele,0.2707682698313554,0.2250453720508167,114,6612
1_3_1,Adv,0.2724458204334365,0.24972926142516785,114,9234
1_3_1,Ele,0.24427645788336932,0.2069563443492452,114,9804
1_3_2,Adv,0.2677131947390751,0.28774238227146814,114,8664
1_3_2,Ele,0.26917971860897266,0.2823211875843455,114,7410
1_3_3,Adv,0.26400279183388586,0.2379179079774909,114,12084
1_3_3,Ele,0.24461269656377402,0.20267774699907665,114,10830
1_3_4,Adv,0.23649402390438248,0.22286911970190965,114,12882
1_3_4,Ele,0.24321751546882436,0.23684210526315788,114,9006
1_3_5,Adv,0.24258004206590325,0.23788377192982457,114,18240
1_3_5,Ele,0.23626077586206898,0.20785659801678108,114,7866
1_4_1,Adv,0.2652914367953946,0.24912280701754386,114,17670
1_4_1,Ele,0.2550180505415163,0.24458607456140352,114,14592
1_4_2,Adv,0.24988682661837935,0.2231290250943815,114,18012
1_4_2,Ele,0.24145299145299146,0.20946870722906558,114,16074
1_4_3,Adv,0.2571945403716494,0.2840946706388613,114,12084
1_4_3,Ele,0.25870646766169153,0.26144629867351304,114,9348
1_4_4,Adv,0.29975168499467897,0.29697671852587443,114,18126
1_4_4,Ele,0.31012170697889385,0.30794465839395235,114,14022
1_4_5,Adv,0.2730243005921993,0.2730263157894737,114,10032
1_4_5,Ele,0.2754885301614274,0.27947776417788656,114,9804
1_5_1,Adv,0.24218163622717037,0.21673976608187134,114,8208
1_5_1,Ele,0.24191063174114022,0.19158403254513096,114,7866
1_5_2,Adv,0.23547918683446273,0.20369104579630895,114,17556
1_5_2,Ele,0.2287687931735067,0.20267085624509035,114,15276
1_5_3,Adv,0.2614150255288111,0.28138825324180017,114,13110
1_5_3,Ele,0.256420233463035,0.259628957451099,114,9918
1_5_4,Adv,0.267893175074184,0.2748419150858175,114,17712
1_5_4,Ele,0.2812554187619213,0.28317384370015947,114,12540
1_5_5,Adv,0.2611839132399458,0.3055014078405891,114,9234
1_5_5,Ele,0.250635838150289,0.297133679268594,114,8094
1_6_1,Adv,0.24955471996833564,0.2419420644634843,114,9804
1_6_1,Ele,0.21868308351177732,0.21555939027897614,114,6954
1_6_2,Adv,0.24400836416277946,0.27462296091104954,114,12996
1_6_2,Ele,0.23228621291448517,0.24823741596983112,114,12198
1_6_3,Adv,0.26453287197231834,0.2808771929824561,114,11400
1_6_3,Ele,0.24613531419393697,0.26828306721860834,114,10146
1_6_4,Adv,0.223491305830208,0.21176762661370407,114,12084
1_6_4,Ele,0.20680178632772242,0.19222334682860998,114,11856
1_7_1,Adv,0.2143205659917053,0.16268467220683286,114,17328
1_7_1,Ele,0.2289901842140648,0.17537313432835822,114,15276
1_7_2,Adv,0.24368179207352098,0.20797329143754908,114,15276
1_7_2,Ele,0.256776664702416,0.22137508509189924,113,14690
1_7_3,Adv,0.26777536755844783,0.2537339971550498,114,16872
1_7_3,Ele,0.27370387669313406,0.2290851094678846,114,13794
1_7_4,Adv,0.26564284807716715,0.21434997750787224,114,17784
1_7_4,Ele,0.24038051966491553,0.1860434668761456,114,15276
1_8_1,Adv,0.24585152838427948,0.20929276315789475,114,14592
1_8_1,Ele,0.2257360959651036,0.17580409356725146,114,13680
1_8_2,Adv,0.2631713554987212,0.2993008837884184,114,15162
1_8_2,Ele,0.25871502266687507,0.31436699857752487,114,12654
1_8_3,Adv,0.2669586983729662,0.2363086770981508,114,16872
1_8_3,Ele,0.24319701446120354,0.222950331372403,114,13429
1_8_4,Adv,0.2505081300813008,0.2460495209655344,114,16074
1_8_4,Ele,0.23455649419218585,0.2204424103737605,114,15732
1_8_5,Adv,0.2676559985696406,0.28690412900939216,114,11286
1_8_5,Ele,0.2754465246395524,0.27909713307659395,114,9348
1_9_1,Adv,0.2076418371285218,0.18700159489633175,114,10032
1_9_1,Ele,0.19799673887724203,0.18082706766917292,114,7980
1_9_2,Adv,0.29123207301173404,0.2950055318476371,114,12654
1_9_2,Ele,0.30378578024007385,0.32065514103730663,114,10990
1_9_3,Adv,0.24437998549673676,0.2540153199901161,114,8094
1_9_3,Ele,0.2515743073047859,0.25257108287961283,114,6612
1_9_4,Adv,0.2800480769230769,0.3377685787502464,114,10146
1_9_4,Ele,0.2767000204206657,0.31357239251976093,114,10374
1_9_5,Adv,0.25156110615521854,0.23333333333333334,114,13680
1_9_5,Ele,0.25486205336951606,0.256140350877193,114,8550
1_9_6,Adv,0.266797523780764,0.22567783094098884,114,13794
1_9_6,Ele,0.23918722786647315,0.20332334902296392,114,14022
2_10_1,Adv,0.2456286427976686,0.20257374204742626,104,13832
2_10_1,Ele,0.2217651458489155,0.20752834467120182,105,11025
2_10_2,Adv,0.2081772784019975,0.20272572402044292,104,13501
2_10_2,Ele,0.24059640799728904,0.2468605141171513,105,11865
2_10_3,Adv,0.2488941816944539,0.23793243793243793,105,12285
2_10_3,Ele,0.24388801261829654,0.2097741707833451,104,11336
2_10_4,Adv,0.24889236382590565,0.23408521303258145,105,15960
2_10_4,Ele,0.2598072181125308,0.23557638656399954,103,8961
2_1_1,Adv,0.22578719594090435,0.24116222760290557,105,12390
2_1_1,Ele,0.23424270931326435,0.24328737300435413,104,11024
2_1_2,Adv,0.23704642687371258,0.21882613510520488,105,13545
2_1_2,Ele,0.25005683109797683,0.22965587044534413,104,9880
2_1_3,Adv,0.22319824316230785,0.2155297532656023,104,11024
2_1_3,Ele,0.24150026983270373,0.22883597883597884,105,7560
2_1_4,Adv,0.24665757162346522,0.1822843822843823,104,17160
2_1_4,Ele,0.21909547738693466,0.1824561403508772,105,9975
2_1_5,Adv,0.25421972164643175,0.2519239937342505,104,14683
2_1_5,Ele,0.2624343527957986,0.27985948477751754,105,12810
2_1_6,Adv,0.22023733571519713,0.22980472764645427,105,14595
2_1_6,Ele,0.22865853658536586,0.23453996983408748,104,10608
2_2_1,Adv,0.26607864755604554,0.23492723492723494,104,11544
2_2_1,Ele,0.2519366197183099,0.27169811320754716,105,11130
2_2_2,Adv,0.28176555716353113,0.24245852187028658,104,15912
2_2_2,Ele,0.2554438860971524,0.2469436001350895,105,14805
2_2_3,Adv,0.27697914557602754,0.2759238310708899,104,10608
2_2_3,Ele,0.24984526511244068,0.2947951273532669,105,9030
2_2_4,Adv,0.30357142857142855,0.3964285714285714,105,5880
2_2_4,Ele,0.2837495475931958,0.3019230769230769,104,5200
2_2_5,Adv,0.2533409155530281,0.25771939328277355,104,14768
2_2_5,Ele,0.2692307692307692,0.2523364485981308,104,11128
2_2_6,Adv,0.24562937062937062,0.2558956916099773,105,8820
2_2_6,Ele,0.282628536659568,0.2644927536231884,104,7176
2_3_1,Adv,0.24072026536092245,0.22086894586894587,104,14040
2_3_1,Ele,0.22876404494382022,0.22315018315018315,105,13650
2_3_2,Adv,0.2452558941920644,0.21294417904587395,104,15281
2_3_2,Ele,0.26144382124117965,0.2580586080586081,105,10920
2_3_3,Adv,0.27514044943820226,0.3159041394335512,105,16065
2_3_3,Ele,0.2507002801120448,0.2638093289689034,104,9776
2_3_4,Adv,0.23202968001236668,0.20289153292750414,104,14456
2_3_4,Ele,0.2104642014162077,0.21351766513056836,105,9765
2_4_1,Adv,0.23869516310461192,0.2535423925667828,105,8610
2_4_1,Ele,0.2290804963410754,0.2257396449704142,104,6760
2_4_2,Adv,0.23997440273037543,0.26633053221288516,105,8925
2_4_2,Ele,0.2543402777777778,0.25728155339805825,103,7210
2_4_3,Adv,0.2732525629077353,0.33173031588873175,105,10605
2_4_3,Ele,0.2748292170257488,0.30699274917045594,103,8137
2_4_4,Adv,0.22329348245275743,0.26990881458966565,105,9870
2_4_4,Ele,0.2874081100308276,0.3075956596230725,103,8755
