text_id,align_idx,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,0,Adv,214.1571615150196,201.0,214.1571615150196,114,2297
1_10_1,0,Ele,204.63002544529263,191.0,204.63002544529263,114,1965
1_10_1,1,Adv,223.41578519121236,205.0,223.41578519121236,114,1229
1_10_1,1,Ele,201.33333333333334,189.0,201.33333333333334,112,1038
1_10_1,2,Adv,220.50109793588055,203.0,220.50109793588055,114,2277
1_10_1,2,Ele,213.43104806934593,202.0,213.43104806934593,114,1269
1_10_2,3,Adv,213.24630113141862,194.0,213.24630113141862,112,1149
1_10_2,3,Ele,219.65998256320836,203.0,219.65998256320836,113,1147
1_10_2,4,Adv,225.66425792106725,211.0,225.66425792106725,113,1799
1_10_2,4,Ele,223.8540829986613,202.0,223.8540829986613,113,1494
1_10_2,5,Adv,203.76910299003322,188.0,203.76910299003322,114,1204
1_10_2,5,Ele,211.18324250681198,196.0,211.18324250681198,114,1468
1_10_2,6,Adv,211.52837209302325,191.0,211.52837209302325,114,1075
1_10_2,6,Ele,210.68347338935575,190.0,210.68347338935575,113,1071
1_10_3,7,Adv,221.32160672092414,202.0,221.32160672092414,114,3809
1_10_3,7,Ele,208.53062653132656,196.0,208.53062653132656,114,2857
1_10_3,8,Adv,223.02234174596606,202.0,223.02234174596606,114,2417
1_10_3,8,Ele,206.23860589812332,190.0,206.23860589812332,114,1119
1_10_4,9,Adv,219.56364513018323,203.0,219.56364513018323,114,2074
1_10_4,9,Ele,209.51386623164763,192.0,209.51386623164763,113,1226
1_10_4,10,Adv,229.62528604118992,210.0,229.62528604118992,112,1748
1_10_4,10,Ele,217.54483541430193,201.0,217.54483541430193,114,1762
1_10_4,11,Adv,210.99585062240664,195.0,210.99585062240664,111,1205
1_10_4,11,Ele,220.72544378698225,206.0,220.72544378698225,109,845
1_10_4,12,Adv,217.30864765409385,201.0,217.30864765409385,113,2174
1_10_4,12,Ele,209.33444816053512,190.0,209.33444816053512,113,1495
1_10_4,13,Adv,217.30731707317074,197.0,217.30731707317074,113,1845
1_10_4,13,Ele,215.08543489449306,198.0,215.08543489449306,114,1943
1_10_5,14,Adv,222.37408759124088,198.0,222.37408759124088,114,1096
1_10_5,14,Ele,207.25717017208413,192.0,207.25717017208413,112,1046
1_10_5,15,Adv,230.11040145985402,209.0,230.11040145985402,112,1096
1_10_5,15,Ele,217.87382445141066,204.0,217.87382445141066,113,1276
1_10_5,16,Adv,222.89895085588074,206.0,222.89895085588074,113,1811
1_10_5,16,Ele,218.55400696864112,203.0,218.55400696864112,113,1435
1_10_5,17,Adv,216.01434720229554,200.5,216.01434720229554,113,2788
1_10_5,17,Ele,203.9018450184502,190.0,203.9018450184502,114,1355
1_10_6,18,Adv,214.93101449275363,199.0,214.93101449275363,113,1725
1_10_6,18,Ele,223.68408551068885,200.0,223.68408551068885,114,1263
1_10_6,19,Adv,215.83752417794972,202.0,215.83752417794972,112,1551
1_10_6,19,Ele,220.37633802816902,200.0,220.37633802816902,113,1775
