text_id,align_idx,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,0,Adv,183.11275576839355,0.0,459.18122270742356,114,2297
1_10_1,0,Ele,124.35318066157761,0.0,354.6502177068215,114,1965
1_10_1,1,Adv,159.63954434499593,0.0,411.314465408805,114,1229
1_10_1,1,Ele,118.36319845857417,0.0,319.9505208333333,112,1038
1_10_1,2,Adv,147.53886693017128,0.0,394.30281690140845,114,2277
1_10_1,2,Ele,107.28605200945627,0.0,333.69117647058823,114,1269
1_10_2,3,Adv,194.28981723237598,0.0,464.1143451143451,112,1149
1_10_2,3,Ele,153.0200523103749,0.0,336.8790786948177,113,1147
1_10_2,4,Adv,174.7787659811006,0.0,414.2648221343874,113,1799
1_10_2,4,Ele,163.8206157965194,0.0,375.3803680981595,113,1494
1_10_2,5,Adv,134.781561461794,0.0,346.7457264957265,114,1204
1_10_2,5,Ele,134.96594005449592,0.0,397.0541082164329,114,1468
1_10_2,6,Adv,145.12,0.0,350.57078651685396,114,1075
1_10_2,6,Ele,130.41456582633054,0.0,323.31944444444446,113,1071
1_10_3,7,Adv,208.21711735363613,0.0,436.24807480748075,114,3809
1_10_3,7,Ele,123.56737836891844,0.0,338.4774688398849,114,2857
1_10_3,8,Adv,216.72900289615225,0.0,455.5078260869565,114,2417
1_10_3,8,Ele,147.39320822162645,0.0,363.2885462555066,114,1119
1_10_4,9,Adv,209.33847637415622,0.0,469.37081081081084,114,2074
1_10_4,9,Ele,149.50244698205546,0.0,442.7294685990338,113,1226
1_10_4,10,Adv,157.8804347826087,0.0,402.2959183673469,112,1748
1_10_4,10,Ele,153.35754824063565,0.0,423.5360501567398,114,1762
1_10_4,11,Adv,87.26721991701245,0.0,298.74147727272725,111,1205
1_10_4,11,Ele,95.87337278106509,0.0,290.36917562724017,109,845
1_10_4,12,Adv,106.59291628334867,0.0,349.5218702865762,113,2174
1_10_4,12,Ele,137.7913043478261,0.0,395.3896353166987,113,1495
1_10_4,13,Adv,121.73116531165311,0.0,394.7170474516696,113,1845
1_10_4,13,Ele,109.21873391662378,0.0,346.18597063621536,114,1943
1_10_5,14,Adv,192.52189781021897,0.0,427.1336032388664,114,1096
1_10_5,14,Ele,191.1395793499044,0.0,442.3274336283186,112,1046
1_10_5,15,Adv,321.16423357664235,150.0,567.7354838709678,112,1096
1_10_5,15,Ele,150.59874608150471,0.0,351.3053016453382,113,1276
1_10_5,16,Adv,243.34400883489783,102.0,469.8251599147122,113,1811
1_10_5,16,Ele,184.34425087108013,0.0,378.44635193133047,113,1435
1_10_5,17,Adv,179.98923959827835,0.0,414.03465346534654,113,2788
1_10_5,17,Ele,118.92029520295203,0.0,344.30982905982904,114,1355
1_10_6,18,Adv,163.5327536231884,0.0,377.13101604278074,113,1725
1_10_6,18,Ele,193.673792557403,0.0,435.2491103202847,114,1263
1_10_6,19,Adv,212.2488716956802,0.0,439.5166889185581,112,1551
1_10_6,19,Ele,182.2518309859155,0.0,428.4728476821192,113,1775
1_10_6,20,Adv,156.32714138286894,0.0,397.58792650918633,110,969
1_10_6,20,Ele,170.72626931567328,0.0,440.6780626780627,109,906
1_10_6,21,Adv,126.59615384615384,0.0,378.3333333333333,107,780
1_10_6,22,Adv,86.35913312693498,0.0,367.0263157894737,113,969
1_10_6,22,Ele,64.3227969348659,0.0,318.26066350710903,110,1044
1_10_6,23,Adv,119.21224489795918,0.0,366.23197492163007,112,980
1_10_7,24,Adv,116.96535181236673,0.0,338.1001540832049,112,1876
1_10_7,24,Ele,153.07124681933843,0.0,393.1830065359477,113,786
1_10_7,25,Adv,172.83498178032275,0.0,386.965034965035,113,1921
1_10_7,25,Ele,154.08295711060947,0.0,384.0154711673699,113,1772
1_10_7,26,Adv,99.39532619279454,0.0,292.48997134670486,110,1027
1_10_7,26,Ele,111.21869158878505,0.0,309.90625,111,1070
1_10_7,27,Adv,75.63328564616118,0.0,291.54963235294116,114,2097
1_10_7,27,Ele,87.23076923076923,0.0,319.7368421052632,113,1950
1_1_1,28,Adv,187.24464633354964,0.0,467.65640194489464,114,1541
1_1_1,28,Ele,121.57982583454282,0.0,341.91224489795917,114,1378
1_1_1,29,Adv,124.65514650638617,0.0,359.90455531453364,112,1331
1_1_1,29,Ele,97.12767857142858,0.0,367.51013513513516,113,1120
1_1_1,30,Adv,171.99686520376176,0.0,417.5570776255708,112,1595
