pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_CV,spearman_corr_CV,pearson_p_CV,spearman_p_CV,std_pearson_corr_CV,std_spearman_corr_CV,CI_yerr_pearson_CV,CI_yerr_spearman_CV,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_CV_symbol,spearman_p_CV_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol,n_bootstraps
mean_nonzero_TF,ARI,Adv,0.3142708609030157,0.3268466568794541,1.0250283350245493e-21,1.8747560522284662e-23,,,,,,,,,0.31246332944357136,0.32493162420751476,9.74103971849465e-15,5.688667148721206e-16,0.02965614720199162,0.029839811989987797,0.058480633552190756,0.058842812532828,***,***,,,***,***,200.0
mean_nonzero_TF,CAREC,Adv,0.2032810044602485,0.1849332077803215,1.0658771800988943e-09,3.050383940321603e-08,,,,,,,,,0.20375665908688184,0.1855248533147932,1.7348972216165308e-05,8.311254440694524e-05,0.03675298584834981,0.03370194109782072,0.0724752909643588,0.06645876330175521,***,***,,,***,***,200.0
mean_nonzero_TF,CAREC_M,Adv,0.1787902147143623,0.1584663682564911,8.724279013361242e-08,2.1924362106933577e-06,,,,,,,,,0.17697990788626378,0.15735655947144767,0.0004943855835027801,0.0009846717216758843,0.03760416688646761,0.03364055540459613,0.07415378298281619,0.06633771338227769,***,***,,,***,***,200.0
mean_nonzero_TF,CARES,Adv,0.3804670195173533,0.392101750328768,7.903245787019268e-32,7.266850078883729e-34,,,,,,,,,0.3829163217165961,0.3935726004827508,1.0319405685505813e-22,1.1205540412333576e-23,0.029275007670669543,0.02836254905381426,0.05772904295912804,0.05592971421826351,***,***,,,***,***,200.0
mean_nonzero_TF,CML2RI,Adv,0.3822086826854853,0.3724742490014058,3.9641963638631977e-32,1.77769405748147e-30,,,,,,,,,0.3823847677623723,0.3711904175901386,4.724086861917473e-19,1.5643015626950575e-19,0.035157091760994276,0.029474802685643856,0.06932825717486915,0.058123030046415045,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-2 117M Mean,Adv,0.361381946376577,0.280150436398792,1.1599647303634762e-28,2.0980569540056902e-17,,,,,,,,,0.36090567240417326,0.28095027309209025,4.5963414079059146e-17,5.315586259257094e-11,0.03587849737983326,0.03100216968824513,0.07075083770599697,0.06113493140266521,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-2 1558M Mean,Adv,0.2881716695396754,0.1957932457527669,2.291292320873065e-18,4.357446359507434e-09,,,,,,,,,0.2863744819553353,0.19638867939340623,3.229149269189601e-09,5.429964539559524e-06,0.038740885621443955,0.032636018801099155,0.07639534293122369,0.06435681085307376,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-2 345M Mean,Adv,0.3212027549266286,0.2238993099975272,1.1562205925364463e-22,1.6591702111795358e-11,,,,,,,,,0.32020042745505106,0.22438848677574733,9.950256552940766e-12,2.1985561370302576e-07,0.03926378020839178,0.031669726823783995,0.07742646833390804,0.06245132506475145,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-2 774M Mean,Adv,0.30154079826884,0.210568295114656,4.8645193849361007e-20,2.568506477989726e-10,,,,,,,,,0.3003053812690264,0.21135267405629118,1.2530667077701757e-10,1.7273108626522098e-06,0.03860812959787364,0.03282137909223674,0.07613355382175568,0.0647223332922265,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-J 6B Mean,Adv,0.2589045282990598,0.1567460350892613,5.256324641331039e-15,2.830168227999447e-06,,,,,,,,,0.2567511926400571,0.1569835239145125,2.0985559477774997e-06,0.0005557560228421056,0.04252618081420582,0.03341507704225995,0.08385978055850622,0.06589307985008222,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-Neo 1.3B Mean,Adv,0.2926654397963412,0.1929651588834854,6.420577300159786e-19,7.312334563257326e-09,,,,,,,,,0.2908231561214636,0.1933310317563496,1.8454877029849754e-09,8.990461672034463e-06,0.04083653162373,0.03292130233298673,0.08052786577986175,0.06491937758074605,***,***,,,***,***,200.0
mean_nonzero_TF,GPT-Neo 125M Mean,Adv,0.3575979268183986,0.2772128079564773,4.648804734050312e-28,4.6372758026491696e-17,,,,,,,,,0.3564212499940072,0.27756819876714817,9.707387097937915e-16,6.7885527429985104e-12,0.03713793681134705,0.0308515550339661,0.07323439753505633,0.06083792584949981,***,***,,,***,***,200.0
