pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
RegRateFirstPass,ARI,Adv,0.0642168947573046,0.0638771485497609,0.7360165760568994,0.7373642657378853,0.0742464872534714,0.07655494958065669,0.5280723142400313,0.4931931707738337,0.16280182340206215,0.174689988698293,0.3230341377308947,0.3466228368340132,ns,ns,ns,ns
RegRateFirstPass,CAREC,Adv,0.0610990705433627,0.0420467185761957,0.7484125445364141,0.8253954034384129,0.057303126700523455,0.050622344380400405,0.48433245652694423,0.48453775545902333,0.1816724774296547,0.18973595054947698,0.3604776093384994,0.3764772893908854,ns,ns,ns,ns
RegRateFirstPass,CAREC_M,Adv,0.3872502004159137,0.3419354838709677,0.0344969895495362,0.0643899404497568,0.3833278822005179,0.33818787626841934,0.1251135339105962,0.20362253888458132,0.15662911603831103,0.19086875497469286,0.31078614714303726,0.3787250191341428,*,ns,ns,ns
RegRateFirstPass,CARES,Adv,0.2078826947014311,0.1470522803114571,0.2703157831120336,0.4380773551924661,0.2023671081468511,0.14389278614678433,0.3191597030006214,0.3945109928040252,0.17766118010522303,0.18694188813164883,0.3525183251898207,0.3709332633778574,ns,ns,ns,ns
RegRateFirstPass,CML2RI,Adv,0.0900551050023749,0.0838709677419354,0.6360300765368179,0.6594749201050072,0.09648588347130482,0.08395443093086376,0.49083748696096213,0.46256720114617794,0.18003677154391304,0.19038734302244703,0.3572320139923283,0.3777697933778377,ns,ns,ns,ns
RegRateFirstPass,GPT-2 117M Mean,Adv,0.082687720702665,0.0820912124582869,0.6639978970675844,0.666282464059791,0.08860919180220604,0.09778465041229598,0.4934273773153926,0.4441094708468909,0.15114850093545454,0.17318209767414675,0.2999114177512549,0.3436308539028744,ns,ns,ns,ns
RegRateFirstPass,GPT-2 1558M Mean,Adv,0.1596076761508281,0.2129032258064516,0.3995187299783377,0.2586536088355619,0.16193886828020188,0.21721314390582275,0.3970773693994253,0.3101395828630186,0.14934115122446256,0.17387761549178535,0.2963252438174003,0.3450109121467092,ns,ns,ns,ns
RegRateFirstPass,GPT-2 345M Mean,Adv,0.1139522452632231,0.1248053392658509,0.5487863782370201,0.5111055955366677,0.1176955811048502,0.1368776966680788,0.45578472486133154,0.4055275284322519,0.1514660503435815,0.1745355895960328,0.3005415046698019,0.34631647551801076,ns,ns,ns,ns
RegRateFirstPass,GPT-2 774M Mean,Adv,0.1362427280370516,0.135928809788654,0.4728303007590415,0.4738605007204883,0.13903099041748582,0.1458819245338133,0.4296240318581352,0.4028037017623338,0.14783624340136134,0.1760728385033482,0.2933391802043448,0.34936671085859416,ns,ns,ns,ns
RegRateFirstPass,GPT-J 6B Mean,Adv,0.1874232715049726,0.203559510567297,0.321312567571947,0.2806268850945986,0.1861614208558794,0.2023515924693526,0.3615933026507644,0.3512053128570496,0.14590903480261014,0.16340313540115808,0.2895151802336094,0.3242272711926464,ns,ns,ns,ns
