pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_CV,spearman_corr_CV,pearson_p_CV,spearman_p_CV,std_pearson_corr_CV,std_spearman_corr_CV,CI_yerr_pearson_CV,CI_yerr_spearman_CV,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_CV_symbol,spearman_p_CV_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol,n_bootstraps
mean_TF,ARI,Adv,0.2413850471848185,0.2438228818784293,0.001971917808807,0.0017680779938854,,,,,,,,,0.2512035729102801,0.2543213856374947,0.0144160322715879,0.0169310823046754,0.0649092708600181,0.0724803578736006,0.1287940755505165,0.1438167547442143,**,**,,,*,*,
mean_TF,CAREC,Adv,0.0223652045657962,0.0335934853788298,0.7775650429235156,0.6712856997589514,,,,,,,,,0.0372408207620074,0.0452793569656578,0.4557444666087179,0.4592520180998618,0.0736164888538826,0.0712767646825162,0.1460710850944239,0.141428564731744,ns,ns,,,ns,ns,
mean_TF,CAREC_M,Adv,0.201291180649227,0.2106171597203586,0.010213228246733,0.0071407996473989,,,,,,,,,0.2119098706719691,0.2198447475223472,0.0448402132929964,0.0374862691456372,0.0708821035175463,0.0708921556357834,0.1406454713581086,0.1406654169415132,*,**,,,*,*,
mean_TF,CARES,Adv,0.2501102258765809,0.2487082975213143,0.0013277831680432,0.0014162191817214,,,,,,,,,0.2377659085553311,0.2418121989487412,0.0433754670760749,0.0327634383261176,0.0832929582472383,0.076163666625425,0.1652712996954752,0.1511252384072244,**,**,,,*,*,
mean_TF,CML2RI,Adv,0.3490518466322767,0.3416967628757439,5.305895146232961e-06,8.583028474388268e-06,,,,,,,,,0.3604439009164389,0.3532388577560091,0.0004420073053971,0.0013413674788721,0.0657504627453142,0.0699936178751058,0.1304631827487927,0.138882523085206,***,***,,,***,**,
mean_TF,GPT-2 117M Mean,Adv,0.3166683782591444,0.2803414243798345,4.034735608028301e-05,0.000302367096226,,,,,,,,,0.3125240681576895,0.2816679137034854,0.0063101027193447,0.0115643480156352,0.0842706845237486,0.0817019399736638,0.1672113207472623,0.1621143742668885,***,***,,,**,*,
mean_TF,GPT-2 1558M Mean,Adv,0.2835384097590864,0.2202957825790581,0.0002559470125475,0.0048491729816167,,,,,,,,,0.2781663729002455,0.2210812860604289,0.0159212583344351,0.0495651537543794,0.0881779549549433,0.0849465273349867,0.1749641929709675,0.1685523395098763,***,**,,,*,*,
mean_TF,GPT-2 345M Mean,Adv,0.2928610102147387,0.2330060502906595,0.0001556298451574,0.0028459956546502,,,,,,,,,0.2892128180853422,0.2343244600238083,0.0113300744317522,0.038120522093871,0.0873312904146092,0.0857979330802576,0.1732842268377954,0.1702417132222547,***,**,,,*,*,
mean_TF,GPT-2 774M Mean,Adv,0.3090528217309664,0.2469131098098822,6.292916064307441e-05,0.0015373108663173,,,,,,,,,0.3034789293461826,0.2480041237121222,0.0085807451859267,0.0278457726780199,0.0863939523058112,0.0849138195173716,0.1714243446730233,0.1684874401037176,***,**,,,**,*,
mean_TF,GPT-J 6B Mean,Adv,0.3024506421440458,0.2428936958144746,9.161964497671016e-05,0.0018433938732645,,,,,,,,,0.2944368065917198,0.2409835240772513,0.0101630697023604,0.0248499315824731,0.0835418321966462,0.0761049413607451,0.1657651196046793,0.1510087147415647,***,**,,,*,*,
mean_TF,GPT-Neo 1.3B Mean,Adv,0.3208157505578983,0.2757828895465599,3.1511510184312755e-05,0.000382169238482,,,,,,,,,0.3146028056839364,0.2739747102379218,0.0040284575268647,0.011292620753295,0.0809834895473414,0.0776310534055041,0.160688812752161,0.154036852130677,***,***,,,**,*,
mean_TF,GPT-Neo 125M Mean,Adv,0.3513991978035551,0.3078168287557458,4.539202860524387e-06,6.755982611731023e-05,,,,,,,,,0.3462651267078637,0.310067857967789,0.0016034024158799,0.0033475922339226,0.0825540924659586,0.0753396776465629,0.1638052296873703,0.1494902655075098,***,***,,,**,**,
mean_TF,GPT-Neo 2.7B Mean,Adv,0.3037359666166712,0.2240526927110016,8.521827393720309e-05,0.004154670165647,,,,,,,,,0.2963287666456882,0.2237443903842857,0.0101722735342446,0.0422053216020843,0.0867861448209496,0.0801436674541715,0.1722025397098158,0.1590224235186419,***,**,,,*,*,
mean_TF,Gemma 7B Mean,Adv,0.2806001849345187,0.2499050893289356,0.0002983375875088,0.0013404001776297,,,,,,,,,0.2744717044534606,0.2446998072756191,0.009497250396161,0.0204192847602467,0.0671931778704827,0.0690419144352577,0.13332584255635,0.1369941369870505,***,**,,,**,*,
mean_TF,Gemma-2 9B Mean,Adv,0.2836762001810314,0.232167731500887,0.0002541035928705,0.0029503814471232,,,,,,,,,0.2757007420668012,0.2274059806572725,0.0114517518165941,0.0245613188602553,0.0765897850261923,0.0665241880613845,0.1519707497613767,0.1319984216367507,***,**,,,*,*,
mean_TF,Llama-2 13B Mean,Adv,0.2532721117295881,0.2001112113141988,0.0011465550036137,0.0106751831763526,,,,,,,,,0.2471597882172518,0.1972133488620452,0.0216366240558631,0.0598640612890219,0.0732574224787086,0.0702652487298245,0.1453586195060869,0.1394214976316918,**,*,,,*,ns,
mean_TF,Llama-2 7B Mean,Adv,0.2564668871923843,0.1951603319968217,0.0009867059007836,0.0128200595288657,,,,,,,,,0.2497908369421086,0.1922076856977218,0.0263088865582353,0.0714109796647489,0.0811155829314042,0.0725453216732879,0.1609509146840007,0.143945657016788,***,*,,,*,ns,
mean_TF,Mamba 1.4B Mean,Adv,0.2999099844465999,0.2383492740921388,0.0001056177651076,0.0022555376437355,,,,,,,,,0.2923844983523084,0.2370432676678533,0.0129828728176766,0.031497306161557,0.0900696051484813,0.0807906954989735,0.1787176373513103,0.1603062675332395,***,**,,,*,*,
mean_TF,Mamba 2.8B Mean,Adv,0.279050434701761,0.2070379261630262,0.0003232358953157,0.0082062926496634,,,,,,,,,0.2711788913692167,0.2058786141968829,0.0209868666704066,0.0616413136362333,0.0900812890914631,0.0806311515865541,0.1787408208290353,0.1599896977977069,***,**,,,*,ns,
mean_TF,Mamba 370M Mean,Adv,0.3266023877401997,0.2751647352874347,2.218425415196322e-05,0.0003943804108103,,,,,,,,,0.3213312920168162,0.2742136772394911,0.0053011628830925,0.0148804822642489,0.0854221622563648,0.0818360919058251,0.1694961023836042,0.1623805608047608,***,***,,,**,*,
mean_TF,Mamba 790M Mean,Adv,0.3090866624630994,0.2490583026725998,6.280666404501592e-05,0.0013936501874734,,,,,,,,,0.3017238865906453,0.2481574756791591,0.0102263294395988,0.0253483671468303,0.0882971645005478,0.0812101242110595,0.1752007305721376,0.1611385050937101,***,**,,,*,*,
mean_TF,Mistral-v0.1 7B Mean,Adv,0.2560275361501548,0.1981918282265041,0.0010074041074339,0.0114659926187188,,,,,,,,,0.2508405528753147,0.1955558395528321,0.0211500624331149,0.0632408581118505,0.0749895494819007,0.0706082757174409,0.1487955352679865,0.1401021375953451,**,*,,,*,ns,
mean_TF,Mistral-v0.3 7B Mean,Adv,0.2640985736418,0.2029451239907361,0.0006840484135486,0.0095954088007626,,,,,,,,,0.2580359047093103,0.2006823177914626,0.0194937667215854,0.0563851435093238,0.0778149777359454,0.0716894778946014,0.1544017979049337,0.1422474772832752,***,**,,,*,ns,
mean_TF,OPT 1.3B Mean,Adv,0.3187758822867041,0.2672303443175676,3.5601134959379e-05,0.0005867118309664,,,,,,,,,0.3129676438773431,0.265183988788843,0.0061293823651923,0.0173269784394087,0.0825318348934619,0.0811595273747255,0.1637610658347229,0.1610381099933634,***,***,,,**,*,
mean_TF,OPT 2.7B Mean,Adv,0.3126655289872168,0.2632193981887233,5.104251614190789e-05,0.0007139313968527,,,,,,,,,0.3054356001189861,0.2608288079871387,0.0075350804467201,0.0165305067060085,0.0837444754377075,0.0785512692557195,0.1661672077587017,0.1558627600197215,***,***,,,**,*,
mean_TF,OPT 350M Mean,Adv,0.3713121590246381,0.3346232716731516,1.1475398913427148e-06,1.347702907403853e-05,,,,,,,,,0.3661551405689796,0.3344140166514798,0.0008580162743507,0.0028259084420581,0.0796402987017397,0.0780761630600115,0.158023630707207,0.1549200462524309,***,***,,,***,**,
mean_TF,OPT 6.7B Mean,Adv,0.315943423256833,0.2621919637123691,4.211312527213277e-05,0.0007503739328736,,,,,,,,,0.3087321602502317,0.2600722605080445,0.0051834721750481,0.0143900813733278,0.0792912877634467,0.0761300817009513,0.157331117287184,0.1510585986307686,***,***,,,**,*,
mean_TF,Pythia 1.4B Mean,Adv,0.312092701040266,0.2503397731458547,5.27748171297992e-05,0.0013137935212523,,,,,,,,,0.3048836466334703,0.2495063657004186,0.0086829598545206,0.0249465186576083,0.0852835241781792,0.0814549457902378,0.1692210143587439,0.1616242842212108,***,**,,,**,*,
mean_TF,Pythia 160M Mean,Adv,0.3547046178851596,0.3143850705867243,3.635901912341991e-06,4.615757326278563e-05,,,,,,,,,0.3504664062230214,0.3150539214526873,0.0016793370655632,0.0033344598118615,0.0812046449553287,0.0757947408547086,0.1611276330616073,0.1503932096391205,***,***,,,**,**,
mean_TF,Pythia 1B Mean,Adv,0.3335569198570094,0.2708094292516805,1.4411875256681266e-05,0.0004911950728368,,,,,,,,,0.3266838081940249,0.270965261263265,0.0047504488690496,0.0150686054001628,0.0873548603195861,0.0806892448489517,0.1733309946427959,0.1601049674337247,***,***,,,**,*,
mean_TF,Pythia 2.8B Mean,Adv,0.3115672881732479,0.252408755209502,5.4412110086664e-05,0.0011936477813922,,,,,,,,,0.3043838752560865,0.2522782652969673,0.0082737150098486,0.0222893458748475,0.0849156746209863,0.0800977830880986,0.1684911210317567,0.1589313789816707,***,**,,,**,*,
mean_TF,Pythia 410M Mean,Adv,0.3367103593076539,0.2918097383288101,1.181066979941201e-05,0.0001647520167922,,,,,,,,,0.3302495057184984,0.2905095570939506,0.0035086777232027,0.0084845524915892,0.0825966337211586,0.0794133200704317,0.1638896407670767,0.1575732558593352,***,***,,,**,**,
mean_TF,Pythia 6.9B Mean,Adv,0.2885227939173084,0.223465587295942,0.0001965900887423,0.0042569402097899,,,,,,,,,0.2817204291238992,0.2223318075258055,0.0131630861881404,0.0430660635349326,0.0852857794906526,0.0799863429006261,0.1692254893879844,0.1587102574726085,***,**,,,*,*,
mean_TF,Pythia 70M Max,Adv,0.0125093782370013,0.0556663434764261,0.8744633783696282,0.4816967187028471,,,,,,,,,0.0112793948179126,0.0521843943153977,0.4585391311591537,0.4048604561726051,0.0854080112234966,0.0871487244907339,0.1694680236643058,0.1729219764368741,ns,ns,,,ns,ns,
mean_TF,Pythia 70M Mean,Adv,0.3667449559782227,0.3311316880268601,1.5860239233014751e-06,1.677113170549824e-05,,,,,,,,,0.3615754463086805,0.3311359128854883,0.0011595796897534,0.0018790471242428,0.083328821905486,0.074444988921308,0.1653424609741134,0.1477150089725355,***,***,,,**,**,
mean_TF,RWKV-4 169M Mean,Adv,0.3605744600288906,0.3121862479024389,2.43663836253739e-06,5.248820022402596e-05,,,,,,,,,0.3546593430349476,0.3122300281138671,0.0014731469718852,0.0043767031298396,0.0828153153053008,0.0747943857042121,0.1643235524733143,0.1484082879919763,***,***,,,**,**,
mean_TF,RWKV-4 430M Mean,Adv,0.3350067079781952,0.2826842007956971,1.3155113235465069e-05,0.000267655024179,,,,,,,,,0.32761817840218,0.2798069839346939,0.0052712375524465,0.0146056503017655,0.0839255495764113,0.0802635364262416,0.1665264981341978,0.1592602695649833,***,***,,,**,*,
mean_TF,Recurrent-Gemma 9B Mean,Adv,0.2779639045740479,0.2212582967450932,0.0003418262383512,0.0046619766006382,,,,,,,,,0.2722468841811506,0.2175689360103188,0.0124365257573745,0.0391725765989082,0.073003773188635,0.0692974195353292,0.1448553242849848,0.1375011145378093,***,**,,,*,*,
mean_TF,SBERT,Adv,0.1610225063426913,0.1429048268938473,0.040659167979137,0.069659357889829,,,,,,,,,0.1665997271022254,0.1470821160194451,0.116477719922484,0.1406127157528081,0.0801432915296829,0.0785923278728199,0.159021677602899,0.1559442292237777,*,ns,,,ns,ns,
mean_TF,avg_embedding_depth,Adv,0.1155706347260976,0.1255214923923552,0.14305866928996,0.1114841189066348,,,,,,,,,0.1212102158740591,0.1289267514999449,0.2563393840905752,0.2193492097302138,0.0702209842589032,0.0661637704228963,0.1393336673181401,0.1312832748488396,ns,ns,,,ns,ns,
mean_TF,avg_integration_cost,Adv,0.0089752916499947,0.0523949243607819,0.909749517938959,0.507862586765971,,,,,,,,,0.0144369268898074,0.0576470471298424,0.5152014150443024,0.4206213269727478,0.0703802840367649,0.0761339551728609,0.1396497526377449,0.1510662844393928,ns,ns,,,ns,ns,
mean_TF,claude-sonnet-4-0_clear_prompt,Adv,0.1601089087375022,0.1580822837926929,0.0418285136544161,0.0445233744987241,,,,,,,,,0.1680954020073552,0.1658896852616797,0.1158607376259749,0.1091176927162789,0.0727513696118649,0.0666819730629236,0.144354500829336,0.1323115013114985,*,*,,,ns,ns,
mean_TF,claude-sonnet-4-0_clear_specific_prompt,Adv,0.2003404954215989,0.2109139595884606,0.0105840045529666,0.0070582324133862,,,,,,,,,0.2043196368527868,0.213105104656553,0.0511058759596179,0.0420874525925964,0.0706733515640437,0.0676765612960066,0.1402312621933083,0.1342849801433527,*,**,,,ns,*,
mean_TF,claude-sonnet-4-0_simple_prompt,Adv,0.2953505991936144,0.3018007914942892,0.0001358711392303,9.502477180378302e-05,,,,,,,,,0.3062983971975699,0.3075925319937329,0.0101165142278341,0.0102177476240235,0.0782408273968681,0.073426161524042,0.1552467760209306,0.1456934343802189,***,***,,,*,*,
mean_TF,coleman_liau_index,Adv,0.3791082703699912,0.3337990839842836,6.528993757900716e-07,1.4194349453729115e-05,,,,,,,,,0.3904738662159434,0.3416249527641172,0.0001004695761782,0.0016636295317422,0.0649949620203029,0.0726811566543967,0.1289641054033482,0.144215183088912,***,***,,,***,**,
