pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
RegRateFirstPass,ARI,Adv,0.0709909828065696,0.0580903685417686,0.7093104079378568,0.7604332654589985,0.0848836288274843,0.07289201552393247,0.45036780568311124,0.4516381824936899,0.21241492630460987,0.2039317089975096,0.42147729752707447,0.40464475394299426,ns,ns,ns,ns
RegRateFirstPass,CAREC,Adv,0.2224639245056449,0.1684093437152391,0.2373692631230972,0.3736813316493395,0.23955618506231602,0.18323093011586628,0.2856344956036381,0.3832093849299477,0.16577308903396432,0.18206579997293174,0.3289297733651501,0.3612580465962802,ns,ns,ns,ns
RegRateFirstPass,CAREC_M,Adv,0.3827564994840798,0.292992213570634,0.036833072863606,0.1161123370061878,0.38249402317685166,0.29499002338156716,0.12797149500463628,0.2222942313987111,0.16914927276415886,0.17629220377910737,0.33562885435400996,0.3498019791573279,*,ns,ns,ns
RegRateFirstPass,CARES,Adv,0.0427882741147541,0.0202447163515016,0.8223641773244326,0.915436469023578,0.06072356667139288,0.0031413550905507147,0.4998687384312278,0.5343403248588775,0.17695569662009542,0.18344289100527078,0.35111849289962105,0.3639904939664179,ns,ns,ns,ns
RegRateFirstPass,CML2RI,Adv,0.0135817682814096,0.0416017797552836,0.943212659775297,0.8272153463595231,0.013819016061176099,0.047990176275870516,0.5885210364138265,0.5406271006889758,0.14778274130930183,0.1616404082858011,0.29323302044633914,0.32072963816947103,ns,ns,ns,ns
RegRateFirstPass,GPT-2 117M Mean,Adv,0.1306349908596434,0.1212458286985539,0.4914077643021571,0.5233214598378129,0.12978158584514282,0.10042090198923952,0.4779125604384602,0.4876983540781497,0.14799919463800315,0.1752723939555137,0.29366251081035877,0.34777845521803824,ns,ns,ns,ns
RegRateFirstPass,GPT-2 1558M Mean,Adv,0.0249137434987761,0.018020022246941,0.8960285293025748,0.9247014225657184,0.031067618777730545,0.024386278353760643,0.5182423475530402,0.5163740582467699,0.1701580259910805,0.18329383221117357,0.337630439606757,0.3636947289803988,ns,ns,ns,ns
RegRateFirstPass,GPT-2 345M Mean,Adv,0.0892816435751669,0.0651835372636262,0.6389441628170488,0.7321863531135642,0.0917365265510119,0.05204217573042568,0.5041347630815661,0.5152958531169513,0.1575983477994699,0.1800276273312317,0.3127093132334693,0.3572138698905178,ns,ns,ns,ns
RegRateFirstPass,GPT-2 774M Mean,Adv,0.0689899362727965,0.0487208008898776,0.7171658894023476,0.7982076547859289,0.07227680704891788,0.036780122899090724,0.5225903195809962,0.5253041442633396,0.1575373953801876,0.18016052854841466,0.3125883704098939,0.3574775747385283,ns,ns,ns,ns
RegRateFirstPass,GPT-J 6B Mean,Adv,0.0265967006113703,0.0024471635150166,0.889046724391916,0.9897601406859132,0.034740771446443365,0.00855856108196994,0.5155392291901224,0.5290126341878846,0.1736595596254212,0.18196835046271262,0.3445782420002936,0.3610646856261872,ns,ns,ns,ns
RegRateFirstPass,GPT-Neo 1.3B Mean,Adv,0.1038405647889948,0.0660734149054504,0.5850173660246901,0.7286658674295455,0.10696393879945881,0.05537347566247781,0.5053528171858486,0.5032579404994867,0.15520788301162458,0.18292673474726961,0.307966112479442,0.3629663279696647,ns,ns,ns,ns
RegRateFirstPass,GPT-Neo 125M Mean,Adv,0.1709243394195209,0.1568409343715239,0.36648240230411,0.4078453205840989,0.1722663396750661,0.13603381100373282,0.4118987443152646,0.419298794999728,0.14101283655049168,0.17839441623605232,0.27980006066380875,0.35397322475007076,ns,ns,ns,ns
RegRateFirstPass,GPT-Neo 2.7B Mean,Adv,0.0496426003597633,0.0389321468298109,0.7944699460881579,0.8381531181479898,0.054186961182510006,0.026746549097638274,0.5277254430986372,0.5351802102841527,0.16120748079164016,0.18157261927907356,0.31987061609678274,0.36027946910337,ns,ns,ns,ns
RegRateFirstPass,Gemma 7B Mean,Adv,0.0813479880904666,0.0202447163515016,0.6691330370682319,0.915436469023578,0.062287382045755735,0.01967926422817092,0.472734921253449,0.5409352984842262,0.18941713346382838,0.1812273395662541,0.3758446871251108,0.35959435924418154,ns,ns,ns,ns
RegRateFirstPass,Gemma-2 9B Mean,Adv,0.0543400472834302,0.0282536151279199,0.7754936026914498,0.8821808942086521,0.037061766627904814,0.03297999208233371,0.4982472342020878,0.526081280231502,0.18458305586402335,0.17480097826041013,0.3662528284066693,0.34684306420460653,ns,ns,ns,ns
RegRateFirstPass,Llama-2 13B Mean,Adv,0.1038171293578055,0.0918798665183537,0.5851025426278083,0.6291762510393837,0.08432174018527311,0.09152817453957597,0.43601569661591105,0.44118129630124364,0.19152779155949012,0.18686947555093494,0.3800326906973619,0.37078958110770244,ns,ns,ns,ns
