pred_col,level_type,text_col_1,text_col_2
mean_TF,Adv,flesch_reading_ease,PLL_bert-base-uncased
mean_TF,Adv,flesch_reading_ease,PLL_bert-large-uncased
mean_TF,Adv,flesch_reading_ease,PLL_roberta-base
mean_TF,Adv,flesch_reading_ease,PLL_roberta-large
mean_TF,Adv,dale_chall_score,PLL_bert-base-uncased
mean_TF,Adv,dale_chall_score,PLL_bert-large-uncased
mean_TF,Adv,dale_chall_score,PLL_roberta-base
mean_TF,Adv,dale_chall_score,PLL_roberta-large
mean_TF,Adv,gunning_fog_index,PLL_bert-base-uncased
mean_TF,Adv,gunning_fog_index,PLL_bert-large-uncased
mean_TF,Adv,gunning_fog_index,PLL_roberta-base
mean_TF,Adv,gunning_fog_index,PLL_roberta-large
mean_TF,Adv,ARI,PLL_bert-base-uncased
mean_TF,Adv,ARI,PLL_bert-large-uncased
mean_TF,Adv,ARI,PLL_roberta-base
mean_TF,Adv,ARI,PLL_roberta-large
mean_TF,Adv,smog_index,PLL_bert-base-uncased
mean_TF,Adv,smog_index,PLL_bert-large-uncased
mean_TF,Adv,smog_index,PLL_roberta-base
mean_TF,Adv,smog_index,PLL_roberta-large
mean_TF,Adv,coleman_liau_index,PLL_bert-base-uncased
mean_TF,Adv,coleman_liau_index,PLL_bert-large-uncased
mean_TF,Adv,coleman_liau_index,PLL_roberta-base
mean_TF,Adv,coleman_liau_index,PLL_roberta-large
mean_TF,Adv,flesch_kincaid_grade_score,PLL_bert-base-uncased
mean_TF,Adv,flesch_kincaid_grade_score,PLL_bert-large-uncased
mean_TF,Adv,flesch_kincaid_grade_score,PLL_roberta-base
mean_TF,Adv,flesch_kincaid_grade_score,PLL_roberta-large
mean_TF,Adv,CML2RI,PLL_bert-base-uncased
mean_TF,Adv,CML2RI,PLL_bert-large-uncased
mean_TF,Adv,CML2RI,PLL_roberta-base
mean_TF,Adv,CML2RI,PLL_roberta-large
mean_TF,Adv,CAREC,PLL_bert-base-uncased
mean_TF,Adv,CAREC,PLL_bert-large-uncased
mean_TF,Adv,CAREC,PLL_roberta-base
mean_TF,Adv,CAREC,PLL_roberta-large
mean_TF,Adv,CARES,PLL_bert-base-uncased
mean_TF,Adv,CARES,PLL_bert-large-uncased
mean_TF,Adv,CARES,PLL_roberta-base
mean_TF,Adv,CARES,PLL_roberta-large
mean_TF,Adv,SBERT,PLL_bert-base-uncased
mean_TF,Adv,SBERT,PLL_bert-large-uncased
mean_TF,Adv,SBERT,PLL_roberta-base
mean_TF,Adv,SBERT,PLL_roberta-large
mean_TF,Adv,llama-3.3-70b-versatile_clear_prompt,PLL_bert-base-uncased
mean_TF,Adv,llama-3.3-70b-versatile_clear_prompt,PLL_bert-large-uncased
mean_TF,Adv,llama-3.3-70b-versatile_clear_prompt,PLL_roberta-base
mean_TF,Adv,llama-3.3-70b-versatile_clear_prompt,PLL_roberta-large
mean_TF,Adv,gpt-4o_clear_prompt,PLL_bert-base-uncased
mean_TF,Adv,gpt-4o_clear_prompt,PLL_bert-large-uncased
mean_TF,Adv,gpt-4o_clear_prompt,PLL_roberta-base
mean_TF,Adv,gpt-4o_clear_prompt,PLL_roberta-large
mean_TF,Adv,gpt-5_clear_prompt,PLL_bert-base-uncased
mean_TF,Adv,gpt-5_clear_prompt,PLL_bert-large-uncased
mean_TF,Adv,gpt-5_clear_prompt,PLL_roberta-base
mean_TF,Adv,gpt-5_clear_prompt,PLL_roberta-large
mean_TF,Adv,gemini-2.0-flash_clear_prompt,PLL_bert-base-uncased
mean_TF,Adv,gemini-2.0-flash_clear_prompt,PLL_bert-large-uncased
mean_TF,Adv,gemini-2.0-flash_clear_prompt,PLL_roberta-base
mean_TF,Adv,gemini-2.0-flash_clear_prompt,PLL_roberta-large
mean_TF,Adv,gemini-2.5-pro_clear_prompt,PLL_bert-base-uncased
