col,full_col,pearson_corr,reader_type,reading_regime,resolution
mean_nonzero_TF,Adv_mean_nonzero_TF,0.7857944353319432,L1_next_to_L2,FirstReading,sentence
mean_nonzero_TF,Ele_mean_nonzero_TF,0.81771852506735,L1_next_to_L2,FirstReading,sentence
mean_nonzero_TF,diff_mean_nonzero_TF,0.5493880011028985,L1_next_to_L2,FirstReading,sentence
SkipRateTotal,Adv_SkipRateTotal,0.834267982534923,L1_next_to_L2,FirstReading,sentence
SkipRateTotal,Ele_SkipRateTotal,0.805973247221276,L1_next_to_L2,FirstReading,sentence
SkipRateTotal,diff_SkipRateTotal,0.598179248793923,L1_next_to_L2,FirstReading,sentence
RegRateTotal,Adv_RegRateTotal,0.791480290833575,L1_next_to_L2,FirstReading,sentence
RegRateTotal,Ele_RegRateTotal,0.7889470648505087,L1_next_to_L2,FirstReading,sentence
RegRateTotal,diff_RegRateTotal,0.5048257234620306,L1_next_to_L2,FirstReading,sentence
mean_nonzero_FF,Adv_mean_nonzero_FF,0.4142414197619629,L1_next_to_L2,FirstReading,sentence
mean_nonzero_FF,Ele_mean_nonzero_FF,0.4049286387501331,L1_next_to_L2,FirstReading,sentence
mean_nonzero_FF,diff_mean_nonzero_FF,0.3309446762302556,L1_next_to_L2,FirstReading,sentence
mean_FD,Adv_mean_FD,0.3589761373287283,L1_next_to_L2,FirstReading,sentence
mean_FD,Ele_mean_FD,0.3367737014602523,L1_next_to_L2,FirstReading,sentence
mean_FD,diff_mean_FD,0.20255320911662647,L1_next_to_L2,FirstReading,sentence
mean_NF,Adv_mean_NF,0.8639422970503611,L1_next_to_L2,FirstReading,sentence
mean_NF,Ele_mean_NF,0.8758815683928207,L1_next_to_L2,FirstReading,sentence
mean_NF,diff_mean_NF,0.6109101035778017,L1_next_to_L2,FirstReading,sentence
mean_FirstPassGD,Adv_mean_FirstPassGD,0.6378737593946477,L1_next_to_L2,FirstReading,sentence
mean_FirstPassGD,Ele_mean_FirstPassGD,0.6486056435645078,L1_next_to_L2,FirstReading,sentence
mean_FirstPassGD,diff_mean_FirstPassGD,0.47465218450281105,L1_next_to_L2,FirstReading,sentence
SkipRateFirstPass,Adv_SkipRateFirstPass,0.7338776013356386,L1_next_to_L2,FirstReading,sentence
SkipRateFirstPass,Ele_SkipRateFirstPass,0.7474115014279529,L1_next_to_L2,FirstReading,sentence
SkipRateFirstPass,diff_SkipRateFirstPass,0.5066487624488939,L1_next_to_L2,FirstReading,sentence
RegRateFirstPass,Adv_RegRateFirstPass,0.7775495879741534,L1_next_to_L2,FirstReading,sentence
RegRateFirstPass,Ele_RegRateFirstPass,0.7925591410878984,L1_next_to_L2,FirstReading,sentence
RegRateFirstPass,diff_RegRateFirstPass,0.4722219523466036,L1_next_to_L2,FirstReading,sentence
mean_GD,Adv_mean_GD,0.8005596400843383,L1_next_to_L2,FirstReading,sentence
mean_GD,Ele_mean_GD,0.8182360232528185,L1_next_to_L2,FirstReading,sentence
mean_GD,diff_mean_GD,0.685878212542909,L1_next_to_L2,FirstReading,sentence
mean_HigherPassFixation,Adv_mean_HigherPassFixation,0.7254948484062576,L1_next_to_L2,FirstReading,sentence
mean_HigherPassFixation,Ele_mean_HigherPassFixation,0.7758949174496297,L1_next_to_L2,FirstReading,sentence
mean_HigherPassFixation,diff_mean_HigherPassFixation,0.4351256107780027,L1_next_to_L2,FirstReading,sentence
reading_speed,Adv_reading_speed,0.7807387964188015,L1_next_to_L2,FirstReading,sentence
reading_speed,Ele_reading_speed,0.8106557127402169,L1_next_to_L2,FirstReading,sentence
reading_speed,diff_reading_speed,0.5033316479899229,L1_next_to_L2,FirstReading,sentence
