metric,resolution,level_type,corr_kind,n_iter,mean_r,ci_low,ci_high,ci_low_tstd,ci_high_tstd,sb_mean_r,sb_ci_low,sb_ci_high,sb_ci_low_tstd,sb_ci_high_tstd,mean_n_texts
RegRateFirstPass,paragraph,Adv+Ele,pearson,1000,0.5927009150138708,0.3614421541855291,0.7430721117791641,0.40087720491123413,0.7845246251165074,0.7392867275665586,0.5309693550010333,0.8526005396888425,0.5792131040308797,0.8993603511022374,324.0
RegRateFirstPass,paragraph,Adv+Ele,spearman,1000,0.5732867102396515,0.34362182353823223,0.7264069663852947,0.3758900560192846,0.7706833644600184,0.7232898803414088,0.5114854125616518,0.8415245877362825,0.5541269667310185,0.8924527939517992,324.0
RegRateFirstPass,paragraph,diff,pearson,1000,0.12306477670913413,-0.3040971303972716,0.4352911723073255,-0.26494300508727636,0.5110725585055447,0.15350167446452628,-0.8739649270314738,0.6065545074052123,-0.6011301857272471,0.9081335346562998,162.0
RegRateFirstPass,paragraph,diff,spearman,1000,0.08644020204329618,-0.35548449604197796,0.4138225925502533,-0.3135457553334273,0.48642615942001965,0.08046932801375976,-1.1031099885356321,0.5853953565549239,-0.7729777516442385,0.933916407671758,162.0
RegRateFirstPass,sentence,Adv+Ele,pearson,1000,0.8018575063272724,0.7626737501073062,0.8290745897817978,0.7683873636887111,0.8353276489658337,0.8899342288784048,0.865360075825763,0.9065508789354229,0.8691627840817826,0.910705673675027,1580.0
RegRateFirstPass,sentence,Adv+Ele,spearman,1000,0.7696773230847836,0.7234491032580411,0.8020313450076996,0.7304614805591201,0.8088931656104472,0.8697051747945077,0.8395363708864703,0.8901413919540548,0.8444284657025899,0.8949818838864255,1580.0
RegRateFirstPass,sentence,diff,pearson,1000,0.42959281540466365,0.28853343240223933,0.5156550286426616,0.3179939338442109,0.5411916969651164,0.5986788496287192,0.44784772772399506,0.6804385117028864,0.48378388872528205,0.7135738105321563,790.0
RegRateFirstPass,sentence,diff,spearman,1000,0.3125186785601416,0.1625201746534005,0.4046934131129511,0.18942390350410454,0.43561345361617865,0.4725153796568141,0.27959959125533307,0.5762017643540658,0.3200409184300542,0.624989840883574,790.0
RegRateTotal,paragraph,Adv+Ele,pearson,1000,0.766817002204225,0.6157457583046164,0.8639086338568556,0.6389484969536432,0.8946855074548068,0.8664275493279997,0.7621814862658511,0.9269860145038012,0.7814441759719117,0.9514109226840877,324.0
RegRateTotal,paragraph,Adv+Ele,spearman,1000,0.7626346121061658,0.5962628416719019,0.863603029080598,0.6303824321989938,0.8948867920133378,0.8636159421760028,0.7470735017350518,0.9268100719541035,0.7751718817960951,0.9520600025559105,324.0
RegRateTotal,paragraph,diff,pearson,1000,0.2788237496681139,-0.15364991874403894,0.5976383241134244,-0.1061752409065147,0.6638227402427426,0.393079440793966,-0.36309494668834336,0.7481521952037236,-0.17175982609105162,0.9579187076789837,162.0
RegRateTotal,paragraph,diff,spearman,1000,0.22439594073733918,-0.20292035548103826,0.5482893498230921,-0.16595125156505605,0.6147431330397344,0.3159349692553388,-0.5091717928142313,0.7082517645437063,-0.3149254386724626,0.9467953771831402,162.0
RegRateTotal,sentence,Adv+Ele,pearson,1000,0.8173044641205883,0.7533142847174797,0.8536224318936712,0.7680878425011441,0.8665210857400325,0.8992564351829349,0.8593031965562612,0.9210316159368603,0.8690033713600189,0.9295094990058508,1580.0
RegRateTotal,sentence,Adv+Ele,spearman,1000,0.8042760797523392,0.7385098913651631,0.8433000490711166,0.7511736468193791,0.8573785126852992,0.8912692275298554,0.8495895159269128,0.9149894499861273,0.8581310385034504,0.9244074165562604,1580.0
RegRateTotal,sentence,diff,pearson,1000,0.44740614192894707,0.23149643114759158,0.5664586916526596,0.2755621738893109,0.6192501099685832,0.612765953642056,0.3759595619246834,0.723234764509362,0.4349153442110458,0.7906165630730662,790.0
RegRateTotal,sentence,diff,spearman,1000,0.37691450520725805,0.14769466981495738,0.5065308394657687,0.19638547575626272,0.5574435346582534,0.5404447125240007,0.2573761794779489,0.672446691447371,0.3325236237969832,0.7483658012510183,790.0
SkipRateFirstPass,paragraph,Adv+Ele,pearson,1000,0.6138318091309696,0.3531607775097239,0.7786408112731638,0.4017893895031358,0.8258742287588033,0.7548082371444211,0.5219790331268547,0.8755458177494161,0.5807734724365429,0.9288430018522994,324.0
SkipRateFirstPass,paragraph,Adv+Ele,spearman,1000,0.599171101187751,0.35445391877800664,0.7706350710724902,0.3838254573530444,0.8145167450224575,0.7431017094775395,0.5233901320555047,0.8704617116852255,0.5633417073619928,0.9228617115930862,324.0
SkipRateFirstPass,paragraph,diff,pearson,1000,0.3368054228212388,-0.1700317847512069,0.6735655900203781,-0.10097289490940031,0.774583740551878,0.45342469954485604,-0.40973086176841844,0.8049467484170979,-0.15960985634917263,1.0664592554388848,162.0
SkipRateFirstPass,paragraph,diff,spearman,1000,0.317333087765203,-0.16378046491410053,0.6551397833072946,-0.11147914563875128,0.7461453211691573,0.43179226186275266,-0.39171643178558635,0.7916428447323033,-0.1794757378547488,1.043060261580254,162.0
SkipRateFirstPass,sentence,Adv+Ele,pearson,1000,0.8001501732740128,0.7130092343278567,0.8545395171247391,0.7276123797447105,0.8726879668033152,0.8885040581822737,0.8324639704620063,0.9215651747471417,0.8428028335353586,0.9342052828291889,1580.0
SkipRateFirstPass,sentence,Adv+Ele,spearman,1000,0.7432517300829161,0.6392569732174956,0.8103603798534094,0.6551207503027925,0.8313827098630397,0.8519397206426577,0.7799350145929049,0.8952475808675033,0.7924958887740704,0.9113835525112449,1580.0
SkipRateFirstPass,sentence,diff,pearson,1000,0.43115791435854456,0.13787534561135092,0.6118763484925285,0.18975655390673724,0.6725592748103519,0.5910714946010539,0.2423381627673785,0.7592100337470629,0.3265143039971188,0.855628685204989,790.0
SkipRateFirstPass,sentence,diff,spearman,1000,0.38450149133011724,0.09132539220438916,0.5704376419824575,0.1393402820161808,0.6296627006440537,0.5424115310181673,0.16736581628710526,0.7264696371498365,0.25569877932307455,0.8291242827132601,790.0
SkipRateTotal,paragraph,Adv+Ele,pearson,1000,0.6732754218723094,0.42179731856733393,0.8390098289823332,0.454761395031601,0.8917894487130178,0.7991272945214217,0.5933296623741465,0.9124582297143056,0.6327307807464583,0.9655238082963852,324.0
SkipRateTotal,paragraph,Adv+Ele,spearman,1000,0.6623197165274932,0.40169020416591444,0.8353713229781342,0.4373739032514328,0.8872655298035537,0.7907965155009826,0.5731511799460558,0.9103022494497658,0.6172235251624336,0.9643695058395316,324.0
SkipRateTotal,paragraph,diff,pearson,1000,0.3733064992409007,-0.16100133652223572,0.7401074871709237,-0.11127555219828794,0.8578885506800893,0.4868880308737444,-0.3837940637755365,0.8506457131135198,-0.15305975601949667,1.1268358177669855,162.0
SkipRateTotal,paragraph,diff,spearman,1000,0.3490291960214872,-0.16706620883734777,0.720025869332351,-0.12438581053318581,0.8224442025761602,0.46088365289700184,-0.40115143857425334,0.8372267854367206,-0.18056878112207675,1.1023360869160803,162.0
SkipRateTotal,sentence,Adv+Ele,pearson,1000,0.8481243431865614,0.7638233867596608,0.8991411752684079,0.7768670043404065,0.9193816820327163,0.9173962886809651,0.8660996193076584,0.9468924025899454,0.874846280581526,0.9599462967804042,1580.0
SkipRateTotal,sentence,Adv+Ele,spearman,1000,0.8193720318301132,0.7205527100255315,0.8794018125815505,0.7358325804301928,0.9029114832300336,0.9001055807202414,0.8375827801208026,0.9358316032763738,0.8485320090508771,0.9516791523896057,1580.0
SkipRateTotal,sentence,diff,pearson,1000,0.4881119931795413,0.1524736061468067,0.6789101377291838,0.20846152194985146,0.7677624644092311,0.6423765347867096,0.264602336686848,0.8087509881937119,0.3599584279816092,0.92479464159181,790.0
SkipRateTotal,sentence,diff,spearman,1000,0.43928638120392965,0.10252387355546175,0.6451842764066562,0.14660259532048225,0.731970167087377,0.5939130577286014,0.18598020020138878,0.7843306907198814,0.277759986706628,0.9100661287505747,790.0
mean_FD,paragraph,Adv+Ele,pearson,1000,0.4230698183425924,-0.009269058149307428,0.7606369405428404,0.018204544686838187,0.8279350919983466,0.561550956508017,-0.018712867926282812,0.8640474329252706,0.10456545192861672,1.0185364610874172,324.0
mean_FD,paragraph,Adv+Ele,spearman,1000,0.42788938212801997,-0.009562391398304627,0.758278717154878,0.02859558158388925,0.8271831826721507,0.5672067411122188,-0.01930961755959246,0.8625230087427143,0.11445028106162963,1.019963201162808,324.0
mean_FD,paragraph,diff,pearson,1000,0.26851020498103156,-0.40159629661467805,0.7779045789208138,-0.37301174282567423,0.9100321527877373,0.2735982691058242,-1.342237748087445,0.8750801978381424,-1.0201313832587764,1.567327921470425,162.0
mean_FD,paragraph,diff,spearman,1000,0.26716388850077827,-0.3891790544497933,0.7829037302363521,-0.3738499232649371,0.9081777002664937,0.273287375815935,-1.2742939911284472,0.8782342091365175,-1.0058086780217521,1.5523834296536219,162.0
mean_FD,sentence,Adv+Ele,pearson,1000,0.5033959171019372,0.25072887220693396,0.6727549786784156,0.2816868823912882,0.7251049518125863,0.6615670202261219,0.40093209115458334,0.804367619975517,0.4479774121202642,0.8751566283319796,1580.0
mean_FD,sentence,Adv+Ele,spearman,1000,0.490947507508803,0.21398084603594655,0.6752656557137814,0.253370180834847,0.728524834182759,0.6490024187840632,0.35252754516021534,0.806159482660186,0.4156363057637096,0.8823685318044168,1580.0
mean_FD,sentence,diff,pearson,1000,0.267955044178057,-0.16953822410634817,0.5580307737573826,-0.1211735573285323,0.6570836456846463,0.3758982159248127,-0.4083006576460762,0.7163282995058283,-0.23072347214513217,0.9825199039947576,790.0
mean_FD,sentence,diff,spearman,1000,0.24459265475590622,-0.21839055841128416,0.5562942740279703,-0.17000533093103917,0.6591906404428516,0.33653141910257756,-0.5588230854715545,0.7148959902151878,-0.34130679773850436,1.0143696359436594,790.0
mean_FirstPassGD,paragraph,Adv+Ele,pearson,1000,0.573581678801241,0.21678476597923949,0.821583562567609,0.257235031165959,0.889928326436523,0.7141578669840769,0.35632314985273145,0.9020542118572825,0.4257019777256882,1.0026137562424657,324.0
mean_FirstPassGD,paragraph,Adv+Ele,spearman,1000,0.5431881185114621,0.16747072936237015,0.8039604755982466,0.21910134457621444,0.8672748924467097,0.687475606130738,0.28689493629703644,0.8913281927494094,0.3803490167454794,0.9946021955159966,324.0
mean_FirstPassGD,paragraph,diff,pearson,1000,0.265102945604154,-0.3600524473194469,0.7372805320055829,-0.3316335213621722,0.8618394125704802,0.2949876280979343,-1.1253248240822995,0.8487754317685862,-0.8090106357467675,1.398985891942636,162.0
mean_FirstPassGD,paragraph,diff,spearman,1000,0.23179769702255698,-0.37892764349152713,0.7288452934891985,-0.3568649179770182,0.8204603120221321,0.24892153386374327,-1.220245884034973,0.8431584721153376,-0.8668499445264432,1.3646930122539298,162.0
mean_FirstPassGD,sentence,Adv+Ele,pearson,1000,0.6760291213515702,0.5265244559743898,0.763324603900462,0.5519817650236085,0.8000764776795319,0.8049250717155939,0.6898342372960314,0.8657788839245191,0.7121169396902287,0.8977332037409591,1580.0
mean_FirstPassGD,sentence,Adv+Ele,spearman,1000,0.6372374280011601,0.46926530868734206,0.7367990706485362,0.4976187938666088,0.7768560621357115,0.7760034703737674,0.6387752173165773,0.8484563056989614,0.666038656993186,0.8859682837543488,1580.0
mean_FirstPassGD,sentence,diff,pearson,1000,0.36805428145100305,0.03576545056194873,0.5715020858632801,0.08259035756767191,0.6535182053343342,0.5191821562964494,0.06906084459178798,0.7273322650869988,0.16485489824966065,0.873509414343238,790.0
mean_FirstPassGD,sentence,diff,spearman,1000,0.3229584269115649,-0.02736096336225131,0.5441888881188335,0.018158891345325612,0.6277579624778042,0.4642331639383005,-0.05626130597776502,0.7048216599814644,0.055728108803344,0.872738219073257,790.0
mean_GD,paragraph,Adv+Ele,pearson,1000,0.6173133837090281,0.2508004863479596,0.8463623134658103,0.3069871576812575,0.9276396097367987,0.750141014313343,0.4010224188786799,0.9167889826314313,0.480985579918494,1.0192964487081921,324.0
mean_GD,paragraph,Adv+Ele,spearman,1000,0.5806582263859125,0.20321049985446268,0.8279844672011857,0.2556692842561079,0.905647168515717,0.7191371979910262,0.33778045676423046,0.9058987980954644,0.4233414411305075,1.0149329548515449,324.0
mean_GD,paragraph,diff,pearson,1000,0.3341083444837851,-0.32898968181679855,0.8069964919851118,-0.2814676005564426,0.9496842895240128,0.3870901628553229,-0.9805802235848606,0.8931909890709705,-0.6472637926834328,1.4214441183940787,162.0
mean_GD,paragraph,diff,spearman,1000,0.29973828647074846,-0.3248422507024801,0.7808122377607573,-0.29832233035402717,0.897798903295524,0.3479630394372954,-0.9622732714963843,0.8769169703548988,-0.6848899650172275,1.3808160438918184,162.0
mean_GD,sentence,Adv+Ele,pearson,1000,0.8181761400133715,0.6621075708725795,0.9044642777737941,0.6924663149269197,0.9438859650998233,0.8985761760477406,0.7967084195651387,0.9498359040900778,0.8192765637243297,0.9778757883711516,1580.0
