text_id,half,Adv,Ele,diff,iter,metric,resolution,align_idx
1_10_1,A,350.8688807992395,322.596877904124,28.272002895115463,0,mean_nonzero_TF,paragraph,
1_10_1,B,400.2744938625826,336.7820352735705,63.492458589012074,0,mean_nonzero_TF,paragraph,
1_10_2,A,344.25578038939,345.1678176831105,-0.9120372937205161,0,mean_nonzero_TF,paragraph,
1_10_2,B,390.38760126102613,365.3151072337684,25.072494027257733,0,mean_nonzero_TF,paragraph,
1_10_3,A,405.5694442157987,312.1339331813848,93.43551103441388,0,mean_nonzero_TF,paragraph,
1_10_3,B,432.8148858776182,346.92402368772827,85.89086218988996,0,mean_nonzero_TF,paragraph,
1_10_4,A,342.4141446609411,324.8517258980783,17.562418762862762,0,mean_nonzero_TF,paragraph,
1_10_4,B,380.11035222887494,352.5349504262999,27.575401802575072,0,mean_nonzero_TF,paragraph,
1_10_5,A,426.7162659049959,356.48251369926805,70.23375220572785,0,mean_nonzero_TF,paragraph,
1_10_5,B,411.7860278769364,366.1727542419662,45.6132736349702,0,mean_nonzero_TF,paragraph,
1_10_6,A,336.6669639296417,359.0803968107018,-22.41343288106009,0,mean_nonzero_TF,paragraph,
1_10_6,B,388.99839357326124,376.790468678973,12.207924894288226,0,mean_nonzero_TF,paragraph,
1_10_7,A,309.51679920252724,327.97343540937493,-18.45663620684769,0,mean_nonzero_TF,paragraph,
1_10_7,B,329.5323799346594,346.6452195829581,-17.11283964829869,0,mean_nonzero_TF,paragraph,
1_1_1,A,367.5332804939287,325.00250063773876,42.53077985618995,0,mean_nonzero_TF,paragraph,
1_1_1,B,388.6899808846388,336.14015510349725,52.54982578114158,0,mean_nonzero_TF,paragraph,
1_1_2,A,326.9167884265778,315.96062693925103,10.956161487326767,0,mean_nonzero_TF,paragraph,
1_1_2,B,350.5044307806242,336.0475266798302,14.45690410079402,0,mean_nonzero_TF,paragraph,
1_1_3,A,367.09519435420583,323.1186859039807,43.97650845022514,0,mean_nonzero_TF,paragraph,
1_1_3,B,374.9404327810841,344.51026408597727,30.43016869510683,0,mean_nonzero_TF,paragraph,
1_1_4,A,370.43164930691506,355.55615294588546,14.875496361029604,0,mean_nonzero_TF,paragraph,
1_1_4,B,396.00286270803167,372.75576438580686,23.247098322224815,0,mean_nonzero_TF,paragraph,
1_1_5,A,324.6508622146291,325.1517602286635,-0.5008980140343624,0,mean_nonzero_TF,paragraph,
1_1_5,B,355.1076422539016,343.52566184667415,11.581980407227434,0,mean_nonzero_TF,paragraph,
1_1_6,A,358.82796145387044,338.93637553114627,19.891585922724175,0,mean_nonzero_TF,paragraph,
1_1_6,B,397.31909819703367,341.11981512381504,56.19928307321862,0,mean_nonzero_TF,paragraph,
1_1_7,A,341.7601886770484,302.0296667473568,39.73052192969158,0,mean_nonzero_TF,paragraph,
1_1_7,B,383.4681900987233,345.42088371445067,38.047306384272645,0,mean_nonzero_TF,paragraph,
1_2_1,A,344.15500960236875,321.5694934151951,22.585516187173653,0,mean_nonzero_TF,paragraph,
1_2_1,B,371.84127838280597,346.99133446877113,24.84994391403484,0,mean_nonzero_TF,paragraph,
1_2_2,A,358.65389461345234,336.68089548200174,21.972999131450592,0,mean_nonzero_TF,paragraph,
1_2_2,B,381.2222437359797,360.68106681405754,20.54117692192216,0,mean_nonzero_TF,paragraph,
1_2_3,A,347.397969332118,369.4857898711648,-22.08782053904679,0,mean_nonzero_TF,paragraph,
1_2_3,B,388.2223273296857,389.54707238481836,-1.3247450551326665,0,mean_nonzero_TF,paragraph,
1_2_4,A,321.91038375680455,341.8066881951599,-19.896304438355344,0,mean_nonzero_TF,paragraph,
1_2_4,B,350.6136805403834,362.99381490574433,-12.380134365360902,0,mean_nonzero_TF,paragraph,
1_2_5,A,331.71731935204514,344.7244921414521,-13.00717278940698,0,mean_nonzero_TF,paragraph,
1_2_5,B,358.66314888498624,352.95238564974363,5.710763235242609,0,mean_nonzero_TF,paragraph,
1_2_6,A,403.6372621658897,326.75893337293525,76.87832879295445,0,mean_nonzero_TF,paragraph,
1_2_6,B,451.77177664297085,339.9831689176819,111.78860772528895,0,mean_nonzero_TF,paragraph,
1_3_1,A,363.52015093107525,315.9191456327535,47.60100529832175,0,mean_nonzero_TF,paragraph,
1_3_1,B,385.56623070183383,314.26439988854855,71.30183081328528,0,mean_nonzero_TF,paragraph,
1_3_2,A,377.254159523924,384.6137051685486,-7.359545644624632,0,mean_nonzero_TF,paragraph,
1_3_2,B,405.6029147682093,389.3569551113033,16.245959656905995,0,mean_nonzero_TF,paragraph,
1_3_3,A,362.5921690750009,317.56830925444984,45.02385982055108,0,mean_nonzero_TF,paragraph,
1_3_3,B,378.50890126826204,329.04933226504227,49.45956900321977,0,mean_nonzero_TF,paragraph,
1_3_4,A,325.8744712179802,324.7069292823698,1.1675419356104157,0,mean_nonzero_TF,paragraph,
1_3_4,B,373.03190802249395,353.2482492610726,19.78365876142135,0,mean_nonzero_TF,paragraph,
1_3_5,A,362.2004934652151,326.07585180561875,36.124641659596364,0,mean_nonzero_TF,paragraph,
1_3_5,B,390.0905825691338,362.4891289438283,27.60145362530551,0,mean_nonzero_TF,paragraph,
1_4_1,A,344.68093427501304,336.60442284024714,8.076511434765905,0,mean_nonzero_TF,paragraph,
1_4_1,B,367.70401469877066,359.38929275902046,8.3147219397502,0,mean_nonzero_TF,paragraph,
1_4_2,A,348.78500469729755,309.67362251568557,39.11138218161199,0,mean_nonzero_TF,paragraph,
1_4_2,B,374.7367889785736,335.6976263923692,39.039162586204384,0,mean_nonzero_TF,paragraph,
1_4_3,A,408.45508481667554,340.3472832247518,68.10780159192376,0,mean_nonzero_TF,paragraph,
1_4_3,B,415.2072276787837,377.7168132541325,37.49041442465119,0,mean_nonzero_TF,paragraph,
