iter,metric,resolution,level_type,pearson_r,pearson_p,spearman_r,spearman_p,n_texts
0,mean_nonzero_TF,paragraph,Adv+Ele,0.8068944734896885,1.3160400240384166e-75,0.792451465516481,4.066408740238747e-71,324
0,mean_nonzero_TF,paragraph,diff,0.6723193582411524,1.174989292197967e-22,0.6598062834392522,1.3154349392631014e-21,162
0,SkipRateTotal,paragraph,Adv+Ele,0.7809371457623947,8.713574459666311e-68,0.7824643241745706,3.236912231018549e-68,324
0,SkipRateTotal,paragraph,diff,0.5808504518306747,5.380270491965548e-16,0.5831523326855416,3.8758669216226637e-16,162
0,RegRateTotal,paragraph,Adv+Ele,0.7206478029009377,3.6780372218494823e-53,0.716252723311547,3.026418274151205e-52,324
0,RegRateTotal,paragraph,diff,0.4455912391894798,2.818948080038398e-09,0.4314109864923415,9.961060917595424e-09,162
0,mean_nonzero_FF,paragraph,Adv+Ele,0.24258590063579555,1.0063527661439931e-05,0.3052529261817188,2.0500756632995683e-08,324
0,mean_nonzero_FF,paragraph,diff,0.49276838761312225,2.7193328851618714e-11,0.4928312452985699,2.7012620752653028e-11,162
0,mean_FD,paragraph,Adv+Ele,0.22755207265479135,3.557697468279359e-05,0.28483501362758334,1.8317501591727329e-07,324
0,mean_FD,paragraph,diff,0.5247690389017856,7.605800484271025e-13,0.5156013384874415,2.2019391048268445e-12,162
0,mean_NF,paragraph,Adv+Ele,0.8166165288648622,7.539893321902129e-79,0.7970021080856995,1.7135922500911028e-72,324
0,mean_NF,paragraph,diff,0.5665442828968419,3.90356208060782e-15,0.5116524900467285,3.4470054802277177e-12,162
0,mean_FirstPassGD,paragraph,Adv+Ele,0.6241775099793614,2.1602744022607218e-36,0.6168840905683012,2.337636876518276e-35,324
0,mean_FirstPassGD,paragraph,diff,0.5652766199784074,4.631625294331416e-15,0.5593378692871891,1.0221171673120025e-14,162
0,SkipRateFirstPass,paragraph,Adv+Ele,0.6408514002969949,7.316561994617207e-39,0.6291029283077061,4.172926534624319e-37,324
0,SkipRateFirstPass,paragraph,diff,0.27542887528141596,0.00038911899604389416,0.2464756033707754,0.0015682193128435367,162
0,RegRateFirstPass,paragraph,Adv+Ele,0.534303998475773,2.5872341373597527e-25,0.5399151473454881,6.546981213408557e-26,324
0,RegRateFirstPass,paragraph,diff,0.07722760781809207,0.32867058088355805,0.08672647803082587,0.27248004532143183,162
0,mean_GD,paragraph,Adv+Ele,0.7677369586372962,3.3004377901720215e-64,0.7626087340019231,7.003890874559261e-63,324
0,mean_GD,paragraph,diff,0.6922348230851809,1.952043745704637e-24,0.7024222332304488,2.1052970879593195e-25,162
0,mean_HigherPassFixation,paragraph,Adv+Ele,0.7025341979393864,1.6960465762508653e-49,0.6820752736542212,1.1159434266449485e-45,324
0,mean_HigherPassFixation,paragraph,diff,0.37372511172163075,9.65257730423235e-07,0.28998632439550015,0.00018176560209032645,162
0,reading_speed,paragraph,Adv+Ele,0.7102053515945218,5.155869058592162e-51,0.7294537500110256,4.761372574902869e-55,324
0,reading_speed,paragraph,diff,0.5646422370465289,5.044092590679135e-15,0.579474455974856,6.537538934544537e-16,162
1,mean_nonzero_TF,paragraph,Adv+Ele,0.7191710586663974,7.500910107732161e-53,0.6950730773640992,4.561185120450885e-48,324
1,mean_nonzero_TF,paragraph,diff,0.3236167534704325,2.6611917613635802e-05,0.2544946730062761,0.0010827754685152,162
1,SkipRateTotal,paragraph,Adv+Ele,0.6088362066539653,3.0135266049252993e-34,0.590668024191655,7.453419861396735e-32,324
1,SkipRateTotal,paragraph,diff,0.46847190160481667,3.241911974451452e-10,0.43938489417283766,4.9331787250852126e-09,162
1,RegRateTotal,paragraph,Adv+Ele,0.8379724612138675,1.0623313553851314e-86,0.8398450565285227,1.921741535873631e-87,324
1,RegRateTotal,paragraph,diff,0.6396066588658835,5.1382168703502216e-20,0.6037857008782589,1.819207673065588e-17,162
1,mean_nonzero_FF,paragraph,Adv+Ele,0.11468346664009088,0.039099727002799206,0.04813879847935577,0.3877800449834208,324
1,mean_nonzero_FF,paragraph,diff,-0.27432794302617197,0.0004114863564208331,-0.24003437953824722,0.002093839685563656,162
1,mean_FD,paragraph,Adv+Ele,0.07986803797438174,0.1514693583685035,0.00910516613302991,0.8703114070571737,324
1,mean_FD,paragraph,diff,-0.3050032577619329,7.931855086356962e-05,-0.2798135940307186,0.0003107436449166578,162
1,mean_NF,paragraph,Adv+Ele,0.7737564620791622,8.257998500636866e-66,0.7501832005856773,8.41398321949011e-60,324
1,mean_NF,paragraph,diff,0.5683392498049646,3.0601997353521305e-15,0.496514767253631,1.8232466774815394e-11,162
1,mean_FirstPassGD,paragraph,Adv+Ele,0.4263311524159257,9.683490417087151e-16,0.37297945718998354,3.929444027884661e-12,324
1,mean_FirstPassGD,paragraph,diff,-0.09344632273405178,0.23690530171598914,-0.1232709674960942,0.11809957714653489,162
1,SkipRateFirstPass,paragraph,Adv+Ele,0.5143329546111977,2.811523472007661e-23,0.511720427262223,5.075608113682195e-23,324
1,SkipRateFirstPass,paragraph,diff,0.34939812723485403,5.18554072014626e-06,0.31742785730515793,3.85722859625401e-05,162
1,RegRateFirstPass,paragraph,Adv+Ele,0.7233591593280413,9.820530199118846e-54,0.7157792419711925,3.788774861301608e-52,324
1,RegRateFirstPass,paragraph,diff,0.2196410787255737,0.004980325400648892,0.21098677460373913,0.007038106060826734,162
1,mean_GD,paragraph,Adv+Ele,0.5016437861254208,4.726887718374202e-22,0.435845571696965,1.871653488991232e-16,324
